ID,title,status,v2_status,missing_critical_groups,forbidden_terms,materials,spices,liquids,garlic,granulation,casing,process,errors,safety,contract_file
3308,Istarska kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3308_hr-is-001-istarska-kobasica_contract_v2.json
3309,Rovinjska kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3309_hr-is-002-rovinjska-kobasica_contract_v2.json
3310,Pazinska kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3310_hr-is-003-pazinska-kobasica_contract_v2.json
3311,Lička kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3311_hr-li-001-licka-kobasica_contract_v2.json
3312,Sinjska kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3312_hr-da-001-sinjska-kobasica_contract_v2.json
3313,Korčulanska kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3313_hr-da-002-korculanska-kobasica_contract_v2.json
3314,Hvarska prstena kobasica,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3314_hr-da-003-hvarska-prstena-kobasica_contract_v2.json
3315,Vrgorački kulen,publish,RENDER_ADAPTER_CANDIDATE,,,20,9,6,3,7,8,11,1,22,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3315_hr-da-004-vrgoracki-kulen_contract_v2.json
3524,Privatno: PREVIEW CANON — Slavonska domaća kobasica,private,FIELD_EXTRACTED_NEEDS_QA,,preview,22,9,8,3,14,19,16,1,23,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3524_preview-canon-preview-canon-slavonska-kobasica-src-2976_contract_v2.json
3532,Privatno: PREVIEW GRANULACIJA — Kulenova seka,private,FIELD_EXTRACTED_NEEDS_QA,,preview,11,3,6,2,14,11,10,1,10,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/3532_preview-granulation-kulenova-seka-src-2973_contract_v2.json
2978,Privatno: Ratarske kobasice,private,FIELD_EXTRACTION_INCOMPLETE,materials;spices;granulation;casing;process,,0,0,0,0,0,0,0,0,0,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2978_hr-sl-007-ratarske-kobasice_contract_v2.json
2980,Privatno: Baranjska salama,private,RENDER_ADAPTER_CANDIDATE,,,4,3,6,2,5,5,11,1,6,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2980_hr-sl-009-baranjska-salama_contract_v2.json
2982,Privatno: Slavonska dimljena slanina,private,RENDER_ADAPTER_CANDIDATE,,,6,5,6,2,2,4,9,1,6,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2982_hr-sl-012-slavonska-dimljena-slanina_contract_v2.json
2983,Privatno: Slavonska dimljena šunka,private,FIELD_EXTRACTED_NEEDS_QA,,prema receptu,5,5,6,2,2,4,10,1,6,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2983_hr-sl-014-slavonska-dimljena-sunka_contract_v2.json
2984,Privatno: Suha plećka slavonska,private,RENDER_ADAPTER_CANDIDATE,,,6,5,6,2,2,4,9,1,6,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2984_hr-sl-015-suha-plecka-slavonska_contract_v2.json
2985,Privatno: Suha rebra slavonska,private,RENDER_ADAPTER_CANDIDATE,,,4,5,6,2,2,4,9,1,7,04_OPERATION/recipe_master/reports/contract_normalizer_v2_2026-06-15_18-15-01/contracts_v2/2985_hr-sl-016-suha-rebra-slavonska_contract_v2.json
