ID,title,slug,status,contract_build_status,missing_or_review_groups,forbidden_terms,has_granulation_mm,has_casing_diameter,has_verified_process,contract_file
3003,Slavonska lovačka kobasica (divljač + svinjetina),hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3003_hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina_contract_v1.json
3308,Istarska kobasica,hr-is-001-istarska-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3308_hr-is-001-istarska-kobasica_contract_v1.json
3309,Rovinjska kobasica,hr-is-002-rovinjska-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3309_hr-is-002-rovinjska-kobasica_contract_v1.json
3310,Pazinska kobasica,hr-is-003-pazinska-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3310_hr-is-003-pazinska-kobasica_contract_v1.json
3311,Lička kobasica,hr-li-001-licka-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3311_hr-li-001-licka-kobasica_contract_v1.json
3312,Sinjska kobasica,hr-da-001-sinjska-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3312_hr-da-001-sinjska-kobasica_contract_v1.json
3313,Korčulanska kobasica,hr-da-002-korculanska-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3313_hr-da-002-korculanska-kobasica_contract_v1.json
3314,Hvarska prstena kobasica,hr-da-003-hvarska-prstena-kobasica,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3314_hr-da-003-hvarska-prstena-kobasica_contract_v1.json
3315,Vrgorački kulen,hr-da-004-vrgoracki-kulen,publish,PASS_DRAFT,safety,,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3315_hr-da-004-vrgoracki-kulen_contract_v1.json
3524,Privatno: PREVIEW CANON — Slavonska domaća kobasica,preview-canon-preview-canon-slavonska-kobasica-src-2976,private,PASS_DRAFT,forbidden_public_terms,preview,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3524_preview-canon-preview-canon-slavonska-kobasica-src-2976_contract_v1.json
3532,Privatno: PREVIEW GRANULACIJA — Kulenova seka,preview-granulation-kulenova-seka-src-2973,private,PASS_DRAFT,forbidden_public_terms;safety,preview,1,1,1,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3532_preview-granulation-kulenova-seka-src-2973_contract_v1.json
2978,Privatno: Ratarske kobasice,hr-sl-007-ratarske-kobasice,private,PASS_DRAFT,safety,,1,1,0,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2978_hr-sl-007-ratarske-kobasice_contract_v1.json
2980,Privatno: Baranjska salama,hr-sl-009-baranjska-salama,private,PASS_DRAFT,safety,,1,1,0,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2980_hr-sl-009-baranjska-salama_contract_v1.json
2982,Privatno: Slavonska dimljena slanina,hr-sl-012-slavonska-dimljena-slanina,private,PASS_DRAFT,safety,,0,0,0,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2982_hr-sl-012-slavonska-dimljena-slanina_contract_v1.json
2983,Privatno: Slavonska dimljena šunka,hr-sl-014-slavonska-dimljena-sunka,private,PASS_DRAFT,forbidden_public_terms;safety,prema receptu,0,0,0,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2983_hr-sl-014-slavonska-dimljena-sunka_contract_v1.json
2984,Privatno: Suha plećka slavonska,hr-sl-015-suha-plecka-slavonska,private,PASS_DRAFT,safety,,0,0,0,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2984_hr-sl-015-suha-plecka-slavonska_contract_v1.json
2985,Privatno: Suha rebra slavonska,hr-sl-016-suha-rebra-slavonska,private,PASS_DRAFT,,,0,0,0,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2985_hr-sl-016-suha-rebra-slavonska_contract_v1.json
