post_id,title,url,code,country,category,process,issue_fish_in_meat_context,issue_cheese_in_meat_context,issue_generic_swine_fish_combo,issue_wrong_no_casing_for_sausage,issue_casing_for_whole_cut,issue_generic_text,issue_dirty_title,issue_type_sir,issue_review_food_group,issue_count,recommendation
2047,"Domaći Bratwurst",https://drycured.com/recepti-baza/domaci-bratwurst/,MD-DOMACI_BRATWURST,Njemačka,"Sušeni dimljeni cijeli komad",Sušeno,NO,NO,NO,YES,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE,Njemačka,"Suha kobasica",dimljenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK,Škotska,"Suha kobasica",Sušeno,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA,Španjolska,"Pršut | sušena šunka","sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE,Španjolska,"Suha kobasica","fermentacija + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2055,"Coppa Piacentina - Piacentinska Coppa",https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA,Italija,"coppa | sušeni svinjski vrat","soljenje + zrenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2056,"Nduja Calabrese - Kalabrijska Nduja",https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,Italija,"Sušeni dimljeni cijeli komad","fermentacija + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2057,"Bresaola Valtellinese - Valtelinska Bresaola",https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA,Italija,"Sušeni cijeli komad","soljenje + sušenje + zrenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2058,"Guanciale Romano - Rimski Guanciale",https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE,Hrvatska,"suhomesnati proizvod","sušenje + zrenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2059,"SALAME MILANO - MILANSKA SALAMA",https://drycured.com/recepti-baza/salame-milano-milanska-salama/,MD-SALAME_MILANO_MILANSKA_SALAMA,Italija,"suha salama",,YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,Hrvatska,"suhomesnati proizvod","sušenje + zrenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,Italija,"sušeni zreli sir","soljenje + dugo zrenje",YES,YES,YES,NO,YES,YES,NO,YES,NO,6,AUTO_FIX_RENDER_TEXT
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,Hrvatska,"Sušeni dimljeni cijeli komad",,YES,NO,NO,NO,YES,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM,Italija,"suha salama","mljevenje + punjenje + fermentacija/zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2072,"Njeguški pršut",https://drycured.com/recepti-baza/njeguski-prsut/,MD-NJEGUSKI_PRSUT,"Crna Gora","Pršut | sušena šunka",sušenje,YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2075,"Vrgorački kulen iz zaboravljenih recepata",https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,Hrvatska,"Kulen | trajna fermentirana kobasica","dimljenje + zrenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2076,"Senjska Morska Panceta ""Bura Intenzitet""",https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,Hrvatska,"Sušeni dimljeni cijeli komad",sušenje,YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2078,"ANDOUILLE DE VIRE",https://drycured.com/recepti-baza/andouille-de-vire/,MD-ANDOUILLE_DE_VIRE,Hrvatska,"Suha kobasica","dimljenje + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2079,"COPPA CORSE",https://drycured.com/recepti-baza/coppa-corse/,MD-COPPA_CORSE,Italija,"suhomesnati proizvod","sušenje + zrenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2080,"SAUCISSE DE MORTEAU",https://drycured.com/recepti-baza/saucisse-de-morteau/,MD-SAUCISSE_DE_MORTEAU,Francuska,"Suha kobasica","grubo sjeckanje + prirodno crijevo + dimljenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2086,"Prekomurska Slaninska Rolada ""Trnčova""",https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA,Hrvatska,"Sušeni dimljeni cijeli komad","Dimljeno | Sušeno | Zrelo",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2088,"Koprivnička Kulen",https://drycured.com/recepti-baza/koprivnicka-kulen/,MD-KOPRIVNICKA_KULEN,Hrvatska,"Kulen | trajna fermentirana kobasica","Dimljeno | Sušeno",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2089,"KABANOSY (TANKE SUHE KOBASICE)",https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,MD-KABANOSY_TANKE_SUHE_KOBASICE,Poljska,"Suha kobasica","dimljenje + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2092,"Crikvenička Panceta",https://drycured.com/recepti-baza/crikvenicka-panceta/,MD-CRIKVENICKA_PANCETA,Hrvatska,"Sušeni dimljeni cijeli komad",sušenje,YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2093,"Stara Koprivnička Salama ""Šokačka Priča""",https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,MD-STARA_KOPRIVNICKA_SALAMA_SOKACKA_PRICA,Hrvatska,"suha salama",Sušeno,YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2094,"Pitomački ""Divlji Kulen""",https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,MD-PITOMACKI_DIVLJI_KULEN,Hrvatska,"Kulen | trajna fermentirana kobasica","Dimljeno | Sušeno",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA,Rumunjska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2097,"CHIȘCĂ (Puhana želuca s krvlju)",https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,MD-CHI_C_PUHANA_ZELUCA_S_KRVLJU,Hrvatska,"suhomesnati proizvod",,NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2100,"Miholjačka Začinska Salama",https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,MD-MIHOLJACKA_ZACINSKA_SALAMA,Hrvatska,"suha salama","dimljenje + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,Hrvatska,"Kulen | trajna fermentirana kobasica","dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2102,"Slovačka slanina (Slovenská slanina)",https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,MD-SLOVACKA_SLANINA_SLOVENSKA_SLANINA,Slovačka,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2103,"Kranjska klobasa (Kranjska kobasica)",https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,MD-KRANJSKA_KLOBASA_KRANJSKA_KOBASICA,Slovenija,"Suha kobasica","mljevenje + punjenje + toplinska obrada/dimljenje prema specifikaciji",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2104,"Kraški pršut",https://drycured.com/recepti-baza/kraski-prsut/,MD-KRASKI_PRSUT,Slovenija,"Pršut | sušena šunka","suho soljenje + sušenje + zrenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2106,"Gorenjska zaseka",https://drycured.com/recepti-baza/gorenjska-zaseka/,MD-GORENJSKA_ZASEKA,Hrvatska,"Sušeni dimljeni cijeli komad",zrenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2107,"Vipavska panceta",https://drycured.com/recepti-baza/vipavska-panceta/,MD-VIPAVSKA_PANCETA,Slovenija,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2108,"Tolminska salama",https://drycured.com/recepti-baza/tolminska-salama/,MD-TOLMINSKA_SALAMA,Hrvatska,"suha salama","fermentacija + dimljenje + sušenje + zrenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2110,"Crnogorska Slanina (Durmitorska panćeta)",https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,MD-CRNOGORSKA_SLANINA_DURMITORSKA_PANCETA,"Crna Gora","Sušeni dimljeni cijeli komad","dimljenje + sušenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2111,"LANDJÄGER (TRADICIONALNE DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/landjager-tradicionalne-dimljene-kobasice/,MD-LANDJAGER_TRADICIONALNE_DIMLJENE_KOBASICE,Švicarska,"Suha kobasica","dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2113,"VACHERIN FRIBOURGEOIS METTWURST (DIMLJENA KOBASICA S ALPSKIM SIROM)",https://drycured.com/recepti-baza/vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom/,MD-VACHERIN_FRIBOURGEOIS_METTWURST_DIMLJENA_KOBASICA_S_ALPSKIM_SIROM,Švicarska,"Suha kobasica","dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,YES,3,REVIEW_CATEGORY_OR_SCOPE
2115,"BRESAOLA DELLA VALTELLINA",https://drycured.com/recepti-baza/bresaola-della-valtellina/,MD-BRESAOLA_DELLA_VALTELLINA,Italija,"Sušeni cijeli komad","soljenje + sušenje + zrenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2116,"COPPA PIACENTINA",https://drycured.com/recepti-baza/coppa-piacentina/,MD-COPPA_PIACENTINA,Italija,"coppa | sušeni svinjski vrat","soljenje + zrenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2353,"Pastërma (Albansko suho meso)",https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,MD-PASTERMA_ALBANSKO_SUHO_MESO,Albanija,"Sušeni cijeli komad","soljeno | Sušeno",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2355,"Proshuta Shqiptare – albanska pršuta",https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,Albanija,"Pršut | sušena šunka","suho soljeno | Sušeno | zreno",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2359,"Vorarlberger Mostbröckle – vorarlberška dimljena govedina",https://drycured.com/recepti-baza/vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,MD-VORARLBERGER_MOSTBROCKLE_VORARLBERSKA_DIMLJENA_GOVEDINA,Austrija,"Sušeni dimljeni cijeli komad","Dimljeno | soljeno | Sušeno | zreno",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2398,"Traditionele Droge Worst (Klasična suha kobasica)",https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,MD-TRADITIONELE_DROGE_WORST_KLASICNA_SUHA_KOBASICA,Hrvatska,"Suha kobasica",sušenje,YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2399,"Rookworst (Dimljena kobasica)",https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,MD-ROOKWORST_DIMLJENA_KOBASICA,Nizozemska,"Suha kobasica","dimljenje + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2428,"Durmitorska kastradina",https://drycured.com/recepti-baza/durmitorska-kastradina/,MD-DURMITORSKA_KASTRADINA,"Crna Gora","Pršut | sušena šunka","Dimljeno | Sušeno",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2430,"Vasojevićka preukuša",https://drycured.com/recepti-baza/vasojevicka-preukusa/,MD-VASOJEVICKA_PREUKUSA,Hrvatska,"Suha kobasica",sušenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2432,"Kučka pršura",https://drycured.com/recepti-baza/kucka-prsura/,MD-KUCKA_PRSURA,Hrvatska,"suhomesnati proizvod",sušenje,YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2434,"Crnogorska kobasica",https://drycured.com/recepti-baza/crnogorska-kobasica/,MD-CRNOGORSKA_KOBASICA,"Crna Gora","Suha kobasica",sušenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2435,"Crnogorska stelja",https://drycured.com/recepti-baza/crnogorska-stelja/,MD-CRNOGORSKA_STELJA,"Crna Gora","suhomesnati proizvod",sušenje,YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2440,"Splitski Maestral Narezak",https://drycured.com/recepti-baza/splitski-maestral-narezak/,MD-SPLITSKI_MAESTRAL_NAREZAK,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2441,"Trogirski Zephyr",https://drycured.com/recepti-baza/trogirski-zephyr/,MD-TROGIRSKI_ZEPHYR,Irska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2442,"Makarski Jugo Narezak",https://drycured.com/recepti-baza/makarski-jugo-narezak/,MD-MAKARSKI_JUGO_NAREZAK,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2445,"Hvarski stolen (zaboravljena delicija)",https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2449,"Ribbenssteg (Danska dimljena svinjska rebra)",https://drycured.com/recepti-baza/ribbenssteg-danska-dimljena-svinjska-rebra/,MD-RIBBENSSTEG_DANSKA_DIMLJENA_SVINJSKA_REBRA,Danska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2450,"Bayonneskinke (Danska zasoljena i dimljena šunka)",https://drycured.com/recepti-baza/bayonneskinke-danska-zasoljena-i-dimljena-sunka/,MD-BAYONNESKINKE_DANSKA_ZASOLJENA_I_DIMLJENA_SUNKA,Francuska,"Pršut | sušena šunka","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2456,"Spegeskinke (Danska sušena šunka)",https://drycured.com/recepti-baza/spegeskinke-danska-susena-sunka/,MD-SPEGESKINKE_DANSKA_SUSENA_SUNKA,Danska,"Pršut | sušena šunka","sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2458,"Crubeens (Salamurena i dimljena svinjska stopala)",https://drycured.com/recepti-baza/crubeens-salamurena-i-dimljena-svinjska-stopala/,MD-CRUBEENS_SALAMURENA_I_DIMLJENA_SVINJSKA_STOPALA,Irska,"suha salama","dimljenje + soljenje/salamurenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2464,"StarohrvatskiMore-Kopno Salamet (Salama Maritima)",https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,Italija,"suha salama","fermentacija + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2465,"Krčki Ovčji Dimljeni Raritet",https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,MD-KRCKI_OVCJI_DIMLJENI_RARITET,Hrvatska,"suhomesnati proizvod","dimljenje + zrenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2466,"Kvarnerski Divovski Salamet",https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,MD-KVARNERSKI_DIVOVSKI_SALAMET,Italija,"suha salama","fermentacija + sušenje",YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2468,"Lincolnshire kobasica",https://drycured.com/recepti-baza/lincolnshire-kobasica/,MD-LINCOLNSHIRE_KOBASICA,Hrvatska,"Suha kobasica",sušenje,YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2470,"Bath Chaps (ukiseljene svinjske obrazine)",https://drycured.com/recepti-baza/bath-chaps-ukiseljene-svinjske-obrazine/,MD-BATH_CHAPS_UKISELJENE_SVINJSKE_OBRAZINE,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2474,"Tradicionalna engleska šunka (Wiltshire Ham)",https://drycured.com/recepti-baza/tradicionalna-engleska-sunka-wiltshire-ham/,MD-TRADICIONALNA_ENGLESKA_SUNKA_WILTSHIRE_HAM,Hrvatska,"Pršut | sušena šunka","dimljenje + sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
