Br.,Naziv recepta/proizvoda,Status za bazu,Razlog odluke,Skupina,Broj izvora,Oznake izvora,Izvorne datoteke
11,Bela domaća tlačenica (bela švargla),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
12,Bela kobasica sa prekrupom,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
13,Bela tlačenica (švargla),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
14,Bele - svetle pihtije,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
15,Crna domaća tlačenica (crna švargla),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
16,Crna tlačenica - švargla ( švargla sa dodatkom krvi),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
17,Crna tlačenica - švargla sa mesom,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
18,Crvena papricirana kobasica (španska),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
19,Delikates jetrena kobasica (jetrena pašteta),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
20,Dijetne krvavice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
21,Dijetne pečenice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
22,Dimljena leđna slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
23,Dimljena poljska sirova kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
24,Dimljena slanina sa belim lukom,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
25,Domaća baranjska šunka,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
26,Domaća goveđa kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
27,Domaća jetrena kobasica 1,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
28,Domaća jetrena kobasica 2,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
29,Domaća jetrenjača (džigernjača),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
30,Domaća kavurma,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
31,Domaća kranjska kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
32,Domaća krvavica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",2,"IZV-18, IZV-17",116155486-Domaće-kobasice-i-sl(1).doc; 224336073-Proizvodi-Od-Mesa-a5.pdf
33,Domaća lovačka kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
34,Domaća mortadela,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Salame i srodni proizvodi,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
35,Domaća pančeta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
36,Domaća pašteta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-03,54317045-kavurma-kobasice-kulen.odt
37,Domaća salama,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Salame i srodni proizvodi,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
38,Domaća sirova kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
39,Domaća slaninska kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
40,Domaća velika šunka,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
41,Domaće bijele krvavice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
42,Domaće hrenovke,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
43,Domaće jetrenjače,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
44,Domaće kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,3,"IZV-18, IZV-13, IZV-06",116155486-Domaće-kobasice-i-sl(1).doc; 183991735-Domaca-prerada-i-susenje-mesa-doc.doc; 230566877-domace-kobasice.docx
45,Domaće kobasice - osnovni recept,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-02,117936036-Recept-Za-Kobasice.pdf
46,"Domaće kobasice sa belim lukom, crnim biberom i crvenim vinom",KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
47,Domaće kratke kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
48,Domaće krvavice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
49,Domaće pečenice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
50,Domaće pihtije,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
51,Domaće slaninske kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
52,Domaće svinjske kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
53,Domaći kulin,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
54,Džigernjača,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
55,Džigernjača za mazanje,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
56,Džigernjača za mazanje sa jabukom,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
57,Džigernjača za pečenje,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
58,Fino mlevena kobasica za pečenje,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
59,Francuska jetrena kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
60,Gajdobranska šunka,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
61,Gorenjska salama,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Salame i srodni proizvodi,1,IZV-18,116155486-Domaće-kobasice-i-sl(1).doc
62,Goriške pečenice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
63,Goveđa užička pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-10,260924825-suhomesnati-proizvodi.docx
64,Goveđe uđenice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
65,Goveđi pršut,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
66,Gračanske kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
67,Gurmanska pašteta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
68,Gurmanske kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
69,Hamburger kobasica za pečenje,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
70,Horgoške kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
71,Hurka od kolenice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
72,Hurka od mesa,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
73,Hurka od pluća 1,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
74,Hurka od pluća 2,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
75,Istarske kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
76,Italijanska mortadela,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Salame i srodni proizvodi,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
77,Jednostavna salama,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Salame i srodni proizvodi,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
78,Jetrena kobasica od iznutrica - džigernjača (varijanta 1.),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
79,Jetrena kobasica od iznutrica - džigernjača (varijanta 2.),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
80,Jetrena kobasica sa hlebom,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
81,Jetrena kobasica za mazanje (pašteta),KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
82,Jetrena pašteta sa sardelama,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
83,Jetrenjača,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-19,219570442-Željko-Pavičić-Kolinje-i-Mesni-Specijaliteti.pdf
84,Kavurma,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Iznutrice, krvavice, tlačenice, paštete i pihtije",1,IZV-03,54317045-kavurma-kobasice-kulen.odt
85,Kačarevačka kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
86,Kačarevačka slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
