post_id,title,url,code,valid_dcv5_profile,source_chars,heading_like_count,has_radni_sazetak,has_sastojci,has_postupak,has_crijeva_omotac,has_cesnjak,has_gotovo_je_kad,has_greske_rjesenja,has_cuvanje_posluzivanje,has_internal_or_dirty_title,likely_not_drycured_recipe,render_group
2026,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,NO,3790,9,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,FALLBACK_TO_STRUCTURE
2028,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,MD-CESKI_SPEKACEK_SPEK_KOBASICA,NO,4378,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2029,"JAMBON DE BAYONNE",https://drycured.com/recepti-baza/jambon-de-bayonne/,MD-JAMBON_DE_BAYONNE,NO,3482,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2032,"Coppa (Kapula)",https://drycured.com/recepti-baza/coppa-kapula/,MD-COPPA_KAPULA,NO,3683,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2033,"Andouille de Guémené",https://drycured.com/recepti-baza/andouille-de-guemene/,MD-ANDOUILLE_DE_GUEMENE,NO,3761,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2037,"Hangikjöt (Dimljeni janjeti but)",https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,YES,3564,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA,NO,4281,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,NO,3503,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,NO,4741,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2047,"Domaći Bratwurst",https://drycured.com/recepti-baza/domaci-bratwurst/,MD-DOMACI_BRATWURST,NO,3704,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE,NO,4079,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK,NO,4267,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA,NO,3757,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE,NO,4504,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2055,"Coppa Piacentina - Piacentinska Coppa",https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA,NO,3950,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2056,"Nduja Calabrese - Kalabrijska Nduja",https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,NO,3775,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2057,"Bresaola Valtellinese - Valtelinska Bresaola",https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA,NO,3710,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2058,"Guanciale Romano - Rimski Guanciale",https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE,NO,3831,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2059,"SALAME MILANO - MILANSKA SALAMA",https://drycured.com/recepti-baza/salame-milano-milanska-salama/,MD-SALAME_MILANO_MILANSKA_SALAMA,NO,4400,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,NO,4071,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,NO,3344,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,NO,3816,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM,NO,4344,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2064,"COPPA (CAPOCOLLO) - TALIJANSKA VRATINA",https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,YES,3766,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2072,"Njeguški pršut",https://drycured.com/recepti-baza/njeguski-prsut/,MD-NJEGUSKI_PRSUT,NO,3257,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2075,"Vrgorački kulen iz zaboravljenih recepata",https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,NO,3995,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2076,"Senjska Morska Panceta ""Bura Intenzitet""",https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,NO,3370,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2078,"ANDOUILLE DE VIRE",https://drycured.com/recepti-baza/andouille-de-vire/,MD-ANDOUILLE_DE_VIRE,NO,4161,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2079,"COPPA CORSE",https://drycured.com/recepti-baza/coppa-corse/,MD-COPPA_CORSE,NO,3900,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2080,"SAUCISSE DE MORTEAU",https://drycured.com/recepti-baza/saucisse-de-morteau/,MD-SAUCISSE_DE_MORTEAU,NO,4163,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2086,"Prekomurska Slaninska Rolada ""Trnčova""",https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA,NO,3340,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2088,"Koprivnička Kulen",https://drycured.com/recepti-baza/koprivnicka-kulen/,MD-KOPRIVNICKA_KULEN,NO,3955,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2089,"KABANOSY (TANKE SUHE KOBASICE)",https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,MD-KABANOSY_TANKE_SUHE_KOBASICE,NO,4151,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2092,"Crikvenička Panceta",https://drycured.com/recepti-baza/crikvenicka-panceta/,MD-CRIKVENICKA_PANCETA,NO,3249,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2093,"Stara Koprivnička Salama ""Šokačka Priča""",https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,MD-STARA_KOPRIVNICKA_SALAMA_SOKACKA_PRICA,NO,4115,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2094,"Pitomački ""Divlji Kulen""",https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,MD-PITOMACKI_DIVLJI_KULEN,NO,3995,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA,NO,3643,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2097,"CHIȘCĂ (Puhana želuca s krvlju)",https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,MD-CHI_C_PUHANA_ZELUCA_S_KRVLJU,NO,3895,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2100,"Miholjačka Začinska Salama",https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,MD-MIHOLJACKA_ZACINSKA_SALAMA,NO,3963,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,NO,4105,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2102,"Slovačka slanina (Slovenská slanina)",https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,MD-SLOVACKA_SLANINA_SLOVENSKA_SLANINA,NO,3485,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2103,"Kranjska klobasa (Kranjska kobasica)",https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,MD-KRANJSKA_KLOBASA_KRANJSKA_KOBASICA,NO,4072,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2104,"Kraški pršut",https://drycured.com/recepti-baza/kraski-prsut/,MD-KRASKI_PRSUT,NO,3270,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2106,"Gorenjska zaseka",https://drycured.com/recepti-baza/gorenjska-zaseka/,MD-GORENJSKA_ZASEKA,NO,3534,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2107,"Vipavska panceta",https://drycured.com/recepti-baza/vipavska-panceta/,MD-VIPAVSKA_PANCETA,NO,3704,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2108,"Tolminska salama",https://drycured.com/recepti-baza/tolminska-salama/,MD-TOLMINSKA_SALAMA,NO,4277,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2110,"Crnogorska Slanina (Durmitorska panćeta)",https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,MD-CRNOGORSKA_SLANINA_DURMITORSKA_PANCETA,NO,3320,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2111,"LANDJÄGER (TRADICIONALNE DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/landjager-tradicionalne-dimljene-kobasice/,MD-LANDJAGER_TRADICIONALNE_DIMLJENE_KOBASICE,NO,4138,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2113,"VACHERIN FRIBOURGEOIS METTWURST (DIMLJENA KOBASICA S ALPSKIM SIROM)",https://drycured.com/recepti-baza/vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom/,MD-VACHERIN_FRIBOURGEOIS_METTWURST_DIMLJENA_KOBASICA_S_ALPSKIM_SIROM,NO,4251,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2115,"BRESAOLA DELLA VALTELLINA",https://drycured.com/recepti-baza/bresaola-della-valtellina/,MD-BRESAOLA_DELLA_VALTELLINA,NO,3511,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2116,"COPPA PIACENTINA",https://drycured.com/recepti-baza/coppa-piacentina/,MD-COPPA_PIACENTINA,NO,3777,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2353,"Pastërma (Albansko suho meso)",https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,MD-PASTERMA_ALBANSKO_SUHO_MESO,NO,3504,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2355,"Proshuta Shqiptare – albanska pršuta",https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,NO,3494,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2359,"Vorarlberger Mostbröckle – vorarlberška dimljena govedina",https://drycured.com/recepti-baza/vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,MD-VORARLBERGER_MOSTBROCKLE_VORARLBERSKA_DIMLJENA_GOVEDINA,NO,3466,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2398,"Traditionele Droge Worst (Klasična suha kobasica)",https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,MD-TRADITIONELE_DROGE_WORST_KLASICNA_SUHA_KOBASICA,NO,4004,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2399,"Rookworst (Dimljena kobasica)",https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,MD-ROOKWORST_DIMLJENA_KOBASICA,NO,3958,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2428,"Durmitorska kastradina",https://drycured.com/recepti-baza/durmitorska-kastradina/,MD-DURMITORSKA_KASTRADINA,NO,3504,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2430,"Vasojevićka preukuša",https://drycured.com/recepti-baza/vasojevicka-preukusa/,MD-VASOJEVICKA_PREUKUSA,NO,4092,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2432,"Kučka pršura",https://drycured.com/recepti-baza/kucka-prsura/,MD-KUCKA_PRSURA,NO,3730,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2434,"Crnogorska kobasica",https://drycured.com/recepti-baza/crnogorska-kobasica/,MD-CRNOGORSKA_KOBASICA,NO,3959,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2435,"Crnogorska stelja",https://drycured.com/recepti-baza/crnogorska-stelja/,MD-CRNOGORSKA_STELJA,NO,3453,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2440,"Splitski Maestral Narezak",https://drycured.com/recepti-baza/splitski-maestral-narezak/,MD-SPLITSKI_MAESTRAL_NAREZAK,NO,3485,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2441,"Trogirski Zephyr",https://drycured.com/recepti-baza/trogirski-zephyr/,MD-TROGIRSKI_ZEPHYR,NO,3442,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2442,"Makarski Jugo Narezak",https://drycured.com/recepti-baza/makarski-jugo-narezak/,MD-MAKARSKI_JUGO_NAREZAK,NO,3474,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2445,"Hvarski stolen (zaboravljena delicija)",https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,NO,3461,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2449,"Ribbenssteg (Danska dimljena svinjska rebra)",https://drycured.com/recepti-baza/ribbenssteg-danska-dimljena-svinjska-rebra/,MD-RIBBENSSTEG_DANSKA_DIMLJENA_SVINJSKA_REBRA,NO,3735,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2450,"Bayonneskinke (Danska zasoljena i dimljena šunka)",https://drycured.com/recepti-baza/bayonneskinke-danska-zasoljena-i-dimljena-sunka/,MD-BAYONNESKINKE_DANSKA_ZASOLJENA_I_DIMLJENA_SUNKA,NO,3729,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2456,"Spegeskinke (Danska sušena šunka)",https://drycured.com/recepti-baza/spegeskinke-danska-susena-sunka/,MD-SPEGESKINKE_DANSKA_SUSENA_SUNKA,NO,3551,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2458,"Crubeens (Salamurena i dimljena svinjska stopala)",https://drycured.com/recepti-baza/crubeens-salamurena-i-dimljena-svinjska-stopala/,MD-CRUBEENS_SALAMURENA_I_DIMLJENA_SVINJSKA_STOPALA,NO,4131,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2464,"StarohrvatskiMore-Kopno Salamet (Salama Maritima)",https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,NO,4075,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2465,"Krčki Ovčji Dimljeni Raritet",https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,MD-KRCKI_OVCJI_DIMLJENI_RARITET,NO,3483,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2466,"Kvarnerski Divovski Salamet",https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,MD-KVARNERSKI_DIVOVSKI_SALAMET,NO,3900,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2468,"Lincolnshire kobasica",https://drycured.com/recepti-baza/lincolnshire-kobasica/,MD-LINCOLNSHIRE_KOBASICA,NO,4313,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2470,"Bath Chaps (ukiseljene svinjske obrazine)",https://drycured.com/recepti-baza/bath-chaps-ukiseljene-svinjske-obrazine/,MD-BATH_CHAPS_UKISELJENE_SVINJSKE_OBRAZINE,NO,4044,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2474,"Tradicionalna engleska šunka (Wiltshire Ham)",https://drycured.com/recepti-baza/tradicionalna-engleska-sunka-wiltshire-ham/,MD-TRADICIONALNA_ENGLESKA_SUNKA_WILTSHIRE_HAM,NO,3828,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2476,"Engleski pork pie (svinjetina u tijestu)",https://drycured.com/recepti-baza/engleski-pork-pie-svinjetina-u-tijestu/,MD-ENGLESKI_PORK_PIE_SVINJETINA_U_TIJESTU,NO,4171,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2478,"Suitsink (Dimljena svinjska šunka)",https://drycured.com/recepti-baza/suitsink-dimljena-svinjska-sunka/,MD-SUITSINK_DIMLJENA_SVINJSKA_SUNKA,NO,3528,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2480,"Talleliha (Polutrajno sušena govedina)",https://drycured.com/recepti-baza/talleliha-polutrajno-susena-govedina/,MD-TALLELIHA_POLUTRAJNO_SUSENA_GOVEDINA,NO,3637,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2481,"Sealiha õlis (Svinjsko meso u ulju)",https://drycured.com/recepti-baza/sealiha-olis-svinjsko-meso-u-ulju/,MD-SEALIHA_OLIS_SVINJSKO_MESO_U_ULJU,NO,3810,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2501,"Slovačka Klobása (Slovenská Klobása)",https://drycured.com/recepti-baza/slovacka-klobasa-slovenska-klobasa/,MD-SLOVACKA_KLOBASA_SLOVENSKA_KLOBASA,NO,4324,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2503,"RIIPUTETTU HIRVENLIHA (SUHO-ZRELA JELENOVINA)",https://drycured.com/recepti-baza/riiputettu-hirvenliha-suho-zrela-jelenovina/,MD-RIIPUTETTU_HIRVENLIHA_SUHO_ZRELA_JELENOVINA,NO,3535,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2504,"SAVUSIIKA (DIMLJENI SIIKA - BIJELA RIBA)",https://drycured.com/recepti-baza/savusiika-dimljeni-siika-bijela-riba/,MD-SAVUSIIKA_DIMLJENI_SIIKA_BIJELA_RIBA,NO,3568,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2505,"METSOPAISTI (SUHO-SALAMURENI TETRIJEB)",https://drycured.com/recepti-baza/metsopaisti-suho-salamureni-tetrijeb/,MD-METSOPAISTI_SUHO_SALAMURENI_TETRIJEB,NO,4003,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2506,"LAMPAAN ILMAKUIVATTU KYLKI (ZRAČNO-SUŠENA JANJEĆJA PRSA)",https://drycured.com/recepti-baza/lampaan-ilmakuivattu-kylki-zracno-susena-janjecja-prsa/,MD-LAMPAAN_ILMAKUIVATTU_KYLKI_ZRACNO_SUSENA_JANJECJA_PRSA,NO,3604,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
