post_id,title,url,post_content_bytes,full_markdown_bytes,sections_bytes,http_code,html_bytes,real_dcv5_recipe_in_body,visible_text_bytes,visible_has_title_word,visible_has_radni_sazetak,visible_has_gotovo,risk_class,visible_preview
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,4504,4504,0,200,303265,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2055,"Coppa Piacentina - Piacentinska Coppa",https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,3950,3950,0,200,303198,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2056,"Nduja Calabrese - Kalabrijska Nduja",https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,3775,3775,0,200,303132,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2057,"Bresaola Valtellinese - Valtelinska Bresaola",https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,3710,3710,0,200,303331,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2058,"Guanciale Romano - Rimski Guanciale",https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,3831,3831,0,200,303176,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2059,"SALAME MILANO - MILANSKA SALAMA",https://drycured.com/recepti-baza/salame-milano-milanska-salama/,4400,4400,0,200,303056,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,4071,4071,0,200,303360,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,3344,3344,0,200,303198,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,3816,3816,0,200,303195,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,4344,4344,0,200,303481,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2064,"COPPA (CAPOCOLLO) - TALIJANSKA VRATINA",https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,3766,3766,0,200,352533,YES,10351,YES,NO,YES,OK_REAL_DCV5,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2072,"Njeguški pršut",https://drycured.com/recepti-baza/njeguski-prsut/,3257,3257,0,200,302852,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2075,"Vrgorački kulen iz zaboravljenih recepata",https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,3995,3995,0,200,303283,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2076,"Senjska Morska Panceta ""Bura Intenzitet""",https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,3370,3370,0,200,303290,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2078,"ANDOUILLE DE VIRE",https://drycured.com/recepti-baza/andouille-de-vire/,4161,4161,0,200,302821,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2079,"COPPA CORSE",https://drycured.com/recepti-baza/coppa-corse/,3900,3900,0,200,302727,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2080,"SAUCISSE DE MORTEAU",https://drycured.com/recepti-baza/saucisse-de-morteau/,4163,4163,0,200,302859,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2086,"Prekomurska Slaninska Rolada ""Trnčova""",https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,3340,3340,0,200,303270,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2088,"Koprivnička Kulen",https://drycured.com/recepti-baza/koprivnicka-kulen/,3955,3955,0,200,302827,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2089,"KABANOSY (TANKE SUHE KOBASICE)",https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,4151,4151,0,200,303070,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2092,"Crikvenička Panceta",https://drycured.com/recepti-baza/crikvenicka-panceta/,3249,3249,0,200,302909,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2093,"Stara Koprivnička Salama ""Šokačka Priča""",https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,4115,4115,0,200,303318,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2094,"Pitomački ""Divlji Kulen""",https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,3995,3995,0,200,302960,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,3643,3643,0,200,303208,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2097,"CHIȘCĂ (Puhana želuca s krvlju)",https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,3895,3895,0,200,303115,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2100,"Miholjačka Začinska Salama",https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,3963,3963,0,200,303016,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,4105,4105,0,200,303534,NO,1833,YES,NO,NO,OK_VISIBLE_MARKDOWN_OR_FALLBACK,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2102,"Slovačka slanina (Slovenská slanina)",https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,3485,3485,0,200,303228,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2103,"Kranjska klobasa (Kranjska kobasica)",https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,4072,4072,0,200,303156,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2104,"Kraški pršut",https://drycured.com/recepti-baza/kraski-prsut/,3270,3270,0,200,302802,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2106,"Gorenjska zaseka",https://drycured.com/recepti-baza/gorenjska-zaseka/,3534,3534,0,200,302838,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
2107,"Vipavska panceta",https://drycured.com/recepti-baza/vipavska-panceta/,3704,3704,0,200,302838,NO,1833,NO,NO,NO,RISK_VISIBLE_TOO_SHORT_OR_HIDDEN,"Skip to content drycured.com RECEPTI BLOG KNJIGA FORUM Kalkulator Drycured podcast ALATI Menu Toggle Dijagnostika problema Praćenje gubitka težine Dnevnik serije Planer dimljenja Monitor sušionice HACCP kontrolna lista Inventar i sirovina Kalkulator soli Gener"
