post_id,status,title,url,country,category,process,post_content_bytes,full_markdown_bytes,sections_bytes,data_bytes,content_has_markers,meta_has_markers,frontend_checked,frontend_http_code,frontend_bytes,frontend_has_markers,frontend_title_hits,risk_class
2006,draft,"Cumberland Sausage",https://drycured.com/?post_type=dry_recipe&p=2006,"Ujedinjeno Kraljevstvo",Kobasice,,0,0,0,2455,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2007,draft,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",https://drycured.com/?post_type=dry_recipe&p=2007,Grčka,Kobasice,Sušeno|Zrelo,0,0,0,5158,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2008,draft,"GRČKA - Tradicionalni recepti za Loukaniko",https://drycured.com/?post_type=dry_recipe&p=2008,Grčka,Kobasice,Sušeno|Zrelo,0,0,0,5094,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2009,draft,"Tradicionalni Loukaniko sa Krete",https://drycured.com/?post_type=dry_recipe&p=2009,Grčka,Kobasice,Sušeno|Zrelo,0,0,0,5066,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2010,draft,"Makedončki Loukaniko sa Planinom",https://drycured.com/?post_type=dry_recipe&p=2010,"Sjeverna Makedonija",Kobasice,,0,0,0,2437,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2011,draft,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",https://drycured.com/?post_type=dry_recipe&p=2011,Francuska,"Pršuti i šunke",,0,0,0,2918,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2012,draft,"FRANCUSKA - Tradicionalni recepti za saucisson",https://drycured.com/?post_type=dry_recipe&p=2012,Francuska,Salame,,0,0,0,2826,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2013,draft,"Saucisson sec iz Lyona",https://drycured.com/?post_type=dry_recipe&p=2013,Francuska,Salame,,0,0,0,2740,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2014,draft,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",https://drycured.com/?post_type=dry_recipe&p=2014,Češka,Salame,Sušeno,0,0,0,4515,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2015,draft,"ČEŠKA - Tradicionalni recepti",https://drycured.com/?post_type=dry_recipe&p=2015,Češka,Salame,Sušeno,0,0,0,4401,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2016,draft,"Lovecká Saláma (Lovačka salama)",https://drycured.com/?post_type=dry_recipe&p=2016,Češka,Salame,Sušeno,0,0,0,4457,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2017,private,"Drisheen (Tradicionalna irska krvavica od ovčje krvi)",https://drycured.com/?post_type=dry_recipe&p=2017,Irska,"suhomesnati proizvod",,3692,3692,0,6346,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2018,publish,"Irska salama (Spiced Irish Salami)",https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,Irska,"suha salama","fermentacija + sušenje",4359,4359,0,5842,YES,YES,YES,200,303094,YES,5,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2019,private,"Landjäger kobasice s bavarskom salatom od krumpira",https://drycured.com/?post_type=dry_recipe&p=2019,Hrvatska,"Suha kobasica",,4165,4165,0,5710,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2020,private,"Mettwurst s toplom salatom od krumpira i zelenog graha",https://drycured.com/?post_type=dry_recipe&p=2020,Hrvatska,"Suha kobasica",Dimljeno,4100,4100,0,5663,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2021,publish,"Cumberland kobasica",https://drycured.com/recepti-baza/cumberland-kobasica/,Hrvatska,"Suha kobasica",sušenje,4280,4280,0,6358,YES,YES,YES,200,302855,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2022,draft,"Recepti za salame i suhomesnate proizvode iz europskih zemalja",https://drycured.com/?post_type=dry_recipe&p=2022,Grčka,Salame,Sušeno,0,0,0,4262,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2023,publish,"?? Grčki tradicionalni recept - Loukaniko",https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,Grčka,"suhomesnati proizvod",Sušeno,3437,3437,0,4194,YES,YES,YES,200,303233,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2024,draft,"Slovački recept - Turistická Saláma",https://drycured.com/?post_type=dry_recipe&p=2024,Slovačka,Salame,Sušeno,0,0,0,4024,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2025,draft,"Recepti za salame i suhomesnate proizvode iz evropskih zemalja",https://drycured.com/?post_type=dry_recipe&p=2025,Italija,Salame,Sušeno,0,0,0,4351,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2026,publish,"?? Španjolski recept za chorizo",https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,Španjolska,"Suha kobasica",Dimljeno,3790,3790,0,4175,YES,YES,YES,200,303070,YES,3,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2027,draft,"Nemački recept za Mettwurst",https://drycured.com/?post_type=dry_recipe&p=2027,Njemačka,Kobasice,Dimljeno,0,0,0,4053,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2028,publish,"Češki Špekáček (Špek Kobasica)",https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,Češka,"Suha kobasica",sušenje,4378,4378,0,3285,YES,YES,YES,200,303186,YES,3,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2029,publish,"JAMBON DE BAYONNE",https://drycured.com/recepti-baza/jambon-de-bayonne/,Francuska,"Pršut|sušena šunka","soljenje + sušenje + zrenje",3482,3482,0,6121,YES,YES,YES,200,302861,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2030,draft,"Saucisson Sec (Suha kobasica)",https://drycured.com/?post_type=dry_recipe&p=2030,Francuska,Salame,Fermentirano|Sušeno|Zrelo,0,0,0,6801,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2031,draft,"RILLETTES DU MANS",https://drycured.com/?post_type=dry_recipe&p=2031,Francuska,"Pancete i slanine",,0,0,0,6575,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2032,publish,"Coppa (Kapula)",https://drycured.com/recepti-baza/coppa-kapula/,Francuska,"suhomesnati proizvod","fermentacija + sušenje",3683,3683,0,6182,YES,YES,YES,200,302758,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2033,publish,"Andouille de Guémené",https://drycured.com/recepti-baza/andouille-de-guemene/,Francuska,"suhomesnati proizvod","dimljenje + sušenje",3761,3761,0,6098,YES,YES,YES,200,302914,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2034,draft,"JÉSUS DE LYON",https://drycured.com/?post_type=dry_recipe&p=2034,Francuska,Kobasice,Sušeno,0,0,0,6930,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2035,private,"Tradicionalna irska krvavica (Black Pudding)",https://drycured.com/?post_type=dry_recipe&p=2035,"Ujedinjeno Kraljevstvo","suhomesnati proizvod",Sušeno,3765,3765,0,6737,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2036,private,"Irska bijela krvavica (White Pudding)",https://drycured.com/?post_type=dry_recipe&p=2036,Irska,"suhomesnati proizvod",Sušeno,3806,3806,0,6810,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2037,publish,"Hangikjöt (Dimljeni janjeti but)",https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,Island,"suhomesnati proizvod","dimljenje + soljenje/salamurenje",3564,3564,0,6140,YES,YES,YES,200,351915,YES,3,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2038,draft,"Heilhornað Hangikjöt (Sušena janjeća rebra)",https://drycured.com/?post_type=dry_recipe&p=2038,Island,Salame,Dimljeno|Sušeno,0,0,0,6138,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2039,publish,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,Ukrajina,"Suha kobasica","dimljenje + sušenje + zrenje",4281,4281,0,3623,YES,YES,YES,200,303360,YES,5,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2040,draft,"Mađarski Pick Salami (Pick Szalámi)",https://drycured.com/?post_type=dry_recipe&p=2040,Mađarska,Salame,Dimljeno|Fermentirano|Sušeno,0,0,0,6752,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2041,draft,"Mađarska Slanina (Szalonna)",https://drycured.com/?post_type=dry_recipe&p=2041,Mađarska,"Pancete i slanine",Sušeno,0,0,0,6225,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2042,publish,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,Hrvatska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",3503,3503,0,4814,YES,YES,YES,200,303285,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2043,publish,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,Hrvatska,"Suha kobasica","Sušeno|za kuhanje",4741,4741,0,8906,YES,YES,YES,200,303554,YES,6,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2044,private,"NÜRNBERGER BRATWURST (NIRNBERŠKA KOBASICA ZA PEČENJE)",https://drycured.com/?post_type=dry_recipe&p=2044,Hrvatska,"Suha kobasica","Dimljeno|Za pečenje",4572,4572,0,8878,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2045,private,"Salata sa Schinkenspeck kobasicama",https://drycured.com/?post_type=dry_recipe&p=2045,Hrvatska,"Suha kobasica","za kuhanje",4395,4395,0,5495,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2046,private,"Rinderbeiried sendvič",https://drycured.com/?post_type=dry_recipe&p=2046,Njemačka,"suhomesnati proizvod",,3550,3550,0,5231,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2047,publish,"Domaći Bratwurst",https://drycured.com/recepti-baza/domaci-bratwurst/,Njemačka,"Sušeni dimljeni cijeli komad",Sušeno,3704,3704,0,6722,YES,YES,YES,200,302832,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2048,private,"Domaći Leberwurst (Pašteta od jetre)",https://drycured.com/?post_type=dry_recipe&p=2048,Hrvatska,"kuhana jetrena kobasica ili pašteta","Sušeno|za kuhanje",3531,3531,0,6605,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2049,publish,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,Njemačka,"Suha kobasica",dimljenje,4079,4079,0,6722,YES,YES,YES,200,303604,YES,6,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2050,draft,"Secallona - Tradicionalna Katalonska Sušena Slanina",https://drycured.com/?post_type=dry_recipe&p=2050,Španjolska,"Pancete i slanine",Sušeno,0,0,0,4616,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2051,publish,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,Škotska,"Suha kobasica",Sušeno,4267,4267,0,6914,YES,YES,YES,200,303552,YES,6,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2052,publish,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,Španjolska,"Pršut|sušena šunka","sušenje + zrenje + soljenje/salamurenje",3757,3757,0,8247,YES,YES,YES,200,303557,YES,5,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2053,publish,"Chorizo de Pamplona - Čorizo iz Pamplone",https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,Španjolska,"Suha kobasica","fermentacija + sušenje + zrenje",4504,4504,0,5476,YES,YES,YES,200,303265,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2054,draft,"Sobrasada Mallorquina - Majorška Sobrasada",https://drycured.com/?post_type=dry_recipe&p=2054,Španjolska,Salame,Fermentirano|Sušeno,0,0,0,5406,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2055,publish,"Coppa Piacentina - Piacentinska Coppa",https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,Italija,"coppa|sušeni svinjski vrat","soljenje + zrenje",3950,3950,0,5027,YES,YES,YES,200,303198,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2056,publish,"Nduja Calabrese - Kalabrijska Nduja",https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,Italija,"Sušeni dimljeni cijeli komad","fermentacija + sušenje + zrenje",3775,3775,0,5130,YES,YES,YES,200,303132,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2057,publish,"Bresaola Valtellinese - Valtelinska Bresaola",https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,Italija,"Sušeni cijeli komad","soljenje + sušenje + zrenje",3710,3710,0,8106,YES,YES,YES,200,303331,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2058,publish,"Guanciale Romano - Rimski Guanciale",https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,Hrvatska,"suhomesnati proizvod","sušenje + zrenje",3831,3831,0,5316,YES,YES,YES,200,303176,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2059,publish,"SALAME MILANO - MILANSKA SALAMA",https://drycured.com/recepti-baza/salame-milano-milanska-salama/,Italija,"suha salama",,4400,4400,0,3474,YES,YES,YES,200,303056,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2060,publish,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,Hrvatska,"suhomesnati proizvod","sušenje + zrenje",4071,4071,0,3416,YES,YES,YES,200,303360,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2061,publish,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,Italija,"sušeni zreli sir","soljenje + dugo zrenje",3344,3344,0,2529,YES,YES,YES,200,303198,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2062,publish,"PANCETTA ARROTOLATA - ROLANA PANCETA",https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,Hrvatska,"Sušeni dimljeni cijeli komad",,3816,3816,0,3151,YES,YES,YES,200,303195,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2063,publish,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,Italija,"suha salama","mljevenje + punjenje + fermentacija/zrenje",4344,4344,0,3296,YES,YES,YES,200,303481,YES,5,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2064,publish,"COPPA (CAPOCOLLO) - TALIJANSKA VRATINA",https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,Italija,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",3766,3766,0,3273,YES,YES,YES,200,352533,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2065,draft,"Tiroler Speck (Tirolska slanina)",https://drycured.com/?post_type=dry_recipe&p=2065,Austrija,"Pancete i slanine",Dimljeno|Sušeno|Zrelo,0,0,0,4993,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2066,draft,"Kärntner Wurzelspeck (Koruška korijenska slanina)",https://drycured.com/?post_type=dry_recipe&p=2066,Austrija,"Pancete i slanine",Dimljeno|Sušeno|Zrelo,0,0,0,5112,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2067,draft,"Waldviertler Hirschsalami (Salama od jelena iz Waldviertela)",https://drycured.com/?post_type=dry_recipe&p=2067,Austrija,Salame,Dimljeno|Fermentirano|Sušeno|Zrelo,0,0,0,5743,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2068,draft,"SAUCISSON D'ARDENNE (ARDENSKI KULEN)",https://drycured.com/?post_type=dry_recipe&p=2068,Belgija,Salame,Fermentirano,0,0,0,6575,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2069,draft,"LARD FUMÉ DE FLANDRE (FLAMANSKO DIMLJENO SALO)",https://drycured.com/?post_type=dry_recipe&p=2069,Belgija,"Pancete i slanine",Dimljeno,0,0,0,6246,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2070,draft,"BOUDIN BLANC DE BRUXELLES (BIJELA KRVAVICA IZ BRUXELLESA)",https://drycured.com/?post_type=dry_recipe&p=2070,Belgija,Kobasice,"za kuhanje",0,0,0,6523,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2071,draft,"Butifarra Blanca - Tradicionalna Bijela Katalonska Kobasica",https://drycured.com/?post_type=dry_recipe&p=2071,Španjolska,Kobasice,"za kuhanje",0,0,0,4568,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2072,publish,"Njeguški pršut",https://drycured.com/recepti-baza/njeguski-prsut/,"Crna Gora","Pršut|sušena šunka",sušenje,3257,3257,0,4959,YES,YES,YES,200,302852,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2073,private,"Kistanje Začinjena Panceta (Specifični sušeni vrat)",https://drycured.com/?post_type=dry_recipe&p=2073,Hrvatska,"svježa kobasica za pečenje","dimljenje + sušenje",3542,3542,0,4090,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2074,private,"Petrovo Polje Začinska Slanina (Specifični začinjeni komad)",https://drycured.com/?post_type=dry_recipe&p=2074,Poljska,"svježa kobasica za pečenje","dimljenje + sušenje",3548,3548,0,4098,YES,YES,NO,,0,,,OK_OR_NOT_CHECKED
2075,publish,"Vrgorački kulen iz zaboravljenih recepata",https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,Hrvatska,"Kulen|trajna fermentirana kobasica","dimljenje + zrenje",3995,3995,0,4065,YES,YES,YES,200,303283,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2076,publish,"Senjska Morska Panceta ""Bura Intenzitet""",https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,Hrvatska,"Sušeni dimljeni cijeli komad",sušenje,3370,3370,0,5905,YES,YES,YES,200,303290,YES,4,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2077,draft,"SAUCISSON SEC D'AUVERGNE",https://drycured.com/?post_type=dry_recipe&p=2077,Francuska,Salame,,0,0,0,6744,NO,NO,NO,,0,,,OK_OR_NOT_CHECKED
2078,publish,"ANDOUILLE DE VIRE",https://drycured.com/recepti-baza/andouille-de-vire/,Hrvatska,"Suha kobasica","dimljenje + sušenje + zrenje",4161,4161,0,6770,YES,YES,YES,200,302821,YES,1,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2079,publish,"COPPA CORSE",https://drycured.com/recepti-baza/coppa-corse/,Italija,"suhomesnati proizvod","sušenje + zrenje",3900,3900,0,7030,YES,YES,YES,200,302727,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
2080,publish,"SAUCISSE DE MORTEAU",https://drycured.com/recepti-baza/saucisse-de-morteau/,Francuska,"Suha kobasica","grubo sjeckanje + prirodno crijevo + dimljenje",4163,4163,0,6813,YES,YES,YES,200,302859,YES,2,OK_PUBLIC_VISIBLE_OR_HAS_MARKERS
