post_id,recipe_id,post_title,overrides_status,has_mljevenje,notes
2638,MD-BAVARSKI_BIERSCHINKEN_SUNKA_OD_PIVA,"Bavarski Bierschinken (Šunka od piva)",PRAZAN,N,"nema overrides"
2450,MD-BAYONNESKINKE_DANSKA_ZASOLJENA_I_DIMLJENA_SUNKA,"Bayonneskinke (Danska zasoljena i dimljena šunka)",PRAZAN,N,"nema overrides"
2621,MD-BOCZEK_W_DZONY_DIMLJENA_SLANINA,"BOCZEK WĘDZONY (DIMLJENA SLANINA)",PRAZAN,N,"nema overrides"
3216,MD-BUNDNERFLEISCH_GRAUBUNDENSKI_SUSENI_GOVEDI_BUT,"BÜNDNERFLEISCH (GRAUBÜNDENSKI SUŠENI GOVEĐI BUT)",PRAZAN,N,"nema overrides"
3230,MD-BUZENINA_PECENA_I_SUSENA_SVINJETINA,"Buženina (Буженина) &#8211; Pečena i sušena svinjetina",PRAZAN,N,"nema overrides"
2526,MD-CAILLIN_BAIN_BIELI_SPEK_IRSKA_VERZIJA_SLANINE_SA_ZACINIMA,"Caillín Báin (Bieli spek &#8211; Irska verzija slanine sa začinima)",PRAZAN,N,"nema overrides"
3213,MD-CECINA_DE_LEON_SUSENA_GOVEDA_CECINA,"Cecina de León &#8211; Sušena Goveđa Cecina",PRAZAN,N,"nema overrides"
3073,MD-COLLIER_FUME_DE_WALLONIE_DIMLJENI_SVINJSKI_VRAT_IZ_VALONIJE,"Collier fumé de Wallonie – dimljeni svinjski vrat iz Valonije",PRAZAN,N,"nema overrides"
2064,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,"COPPA (CAPOCOLLO) &#8211; TALIJANSKA VRATINA",PRAZAN,N,"nema overrides"
2723,MD-CRNOGORSKA_KASTRADINA,"Crnogorska Kastradina",PRAZAN,N,"nema overrides"
2722,MD-CRNOGORSKA_PRSUTA_NJEGUSKA_PRSUTA,"Crnogorska Pršuta (Njeguška pršuta)",PRAZAN,N,"nema overrides"
2435,MD-CRNOGORSKA_STELJA,"Crnogorska stelja",PRAZAN,N,"nema overrides"
3110,MD-CRNOGORSKI_SUDUK,"Crnogorski suđuk",PRAZAN,N,"nema overrides"
2746,MD-CULATELLO_DI_ZIBELLO,"CULATELLO DI ZIBELLO",PRAZAN,N,"nema overrides"
3217,MD-CULATELLO_DI_ZIBELLO_KULATELO_IZ_ZIBELLA,"Culatello di Zibello &#8211; Kulatelo iz Zibella",PRAZAN,N,"nema overrides"
3227,MD-DIMLENYI_YAZYK_DIMLJENI_GOVEDI_JEZIK,"Dimlenyi Yazyk (Димлений язик) &#8211; Dimljeni goveđi jezik",PRAZAN,N,"nema overrides"
2525,MD-DULSE_AND_YELLOWMAN_BACON_SLANINA_S_MORSKOM_TRAVOM,"Dulse and Yellowman Bacon (Slanina s morskom travom)",PRAZAN,N,"nema overrides"
2428,MD-DURMITORSKA_KASTRADINA,"Durmitorska kastradina",PRAZAN,N,"nema overrides"
2683,MD-EDINBURGH_POTTED_HOG_KONZERVIRANO_SVINJSKO_MESO,"EDINBURGH POTTED HOG (KONZERVIRANO SVINJSKO MESO)",PRAZAN,N,"nema overrides"
3094,MD-ELENA_FILET,"Elena filet (Еленски филе)",PRAZAN,N,"nema overrides"
3083,MD-ELENSKI_BUT,"ЕЛЕНСКИ БУТ (Elenski but)",PRAZAN,N,"nema overrides"
3172,MD-ELGKJ_TT_SPEKEMAT_SUHO_MESO_LOSA,"ELGKJØTT SPEKEMAT (SUHO MESO LOSA)",PRAZAN,N,"nema overrides"
3027,MD-ENGADINER_HATECLETT_SUSENI_KOZJI_BUT,"ENGADINER HATECLETT (SUŠENI KOZJI BUT)",PRAZAN,N,"nema overrides"
2476,MD-ENGLESKI_PORK_PIE_SVINJETINA_U_TIJESTU,"Engleski pork pie (svinjetina u tijestu)",PRAZAN,N,"nema overrides"
3124,MD-ENGLESKI_SUSENI_GOVEDI_JEZIK_POTTED_OX_TONGUE,"Engleski sušeni goveđi jezik (Potted Ox Tongue)",PRAZAN,N,"nema overrides"
2703,MD-ERDUTSKI_FERMENTIRANI_VRAT_S_PODUNAVSKIM_ZACINIMA,"Erdutski Fermentirani Vrat s Podunavskim Začinima",PRAZAN,N,"nema overrides"
2545,MD-ESTONSKA_SUITSUSINK_DIMLJENA_SUNKA,"Estonska Suitsusink (Dimljena Šunka)",PRAZAN,N,"nema overrides"
2597,MD-FENALAR_SUSENI_BUT_JANJETA,"FENALÅR (SUŠENI BUT JANJETA)",PRAZAN,N,"nema overrides"
3070,MD-FILET_DANVERS_ANTVERPSKI_FILE,"Filet d’Anvers – antverpski file",PRAZAN,N,"nema overrides"
3115,MD-FL_SKESTEG_DANSKA_PECENA_SVINJETINA_S_HRSKAVOM_KOZOM,"Flæskesteg (Danska pečena svinjetina s hrskavom kožom)",PRAZAN,N,"nema overrides"
2725,MD-FLASKLAGG_DIMLJENA_SVINJSKA_KOLJENICA,"FLÄSKLÄGG (DIMLJENA SVINJSKA KOLJENICA)",PRAZAN,N,"nema overrides"
3146,MD-GELLUR_SUSENI_RIBLJI_JEZICI,"Gellur (Sušeni riblji jezici)",PRAZAN,N,"nema overrides"
2511,MD-GRAAVILOHI_GRAVLAX_FINSKI_MARINIRANI_LOSOS,"GRAAVILOHI (GRAVLAX &#8211; FINSKI MARINIRANI LOSOS)",PRAZAN,N,"nema overrides"
2730,MD-GRAVAD_LAX_SVEDSKI_GRAVLJENI_LOSOS,"GRAVAD LAX (ŠVEDSKI GRAVLJENI LOSOS)",PRAZAN,N,"nema overrides"
2594,MD-GRAVET_LAKS_GRAVLAKS_MARINIRANI_LOSOS,"GRAVET LAKS (GRAVLAKS &#8211; MARINIRANI LOSOS)",PRAZAN,N,"nema overrides"
3145,MD-HAKARLASULLUR_FERMENTIRANI_TRBUH_GRENLANDSKOG_MORSKOG_PSA,"Hákarlasullur (Fermentirani trbuh grenlandskog morskog psa)",PRAZAN,N,"nema overrides"
3149,MD-HAR_FISKUR_SUSENI_OSLIC,"Harðfiskur (Sušeni oslić)",PRAZAN,N,"nema overrides"
3142,MD-HEILHORNA_HANGIKJOT_SUSENA_JANJECA_REBRA,"Heilhornað Hangikjöt (Sušena janjeća rebra)",PRAZAN,N,"nema overrides"
3219,MD-HERZEGOVINA_LIVANJSKA_DEVENICA,"Herzegovina Livanjska Devenica",PRAZAN,N,"nema overrides"
2688,MD-HIGHLANDS_JERKY_SUSENA_DIVLJAC,"HIGHLANDS JERKY (SUŠENA DIVLJAČ)",PRAZAN,N,"nema overrides"
3098,MD-HIROMERI,"Hiromeri (Χοιρομέρι)",PRAZAN,N,"nema overrides"
3104,MD-HIROMERI_CIPARSKI_PRSUT,"Hiromeri (Χοιρομέρι) &#8211; Ciparski pršut",PRAZAN,N,"nema overrides"
3164,MD-HOLSTEINER_KATENSCHINKEN_HOLSTAJNSKA_DIMLJENA_SUNKA,"HOLSTEINER KATENSCHINKEN (HOLŠTAJNSKA DIMLJENA ŠUNKA)",PRAZAN,N,"nema overrides"
2540,MD-HRUTSPUNGAR_PRESANA_JANJECA_MUDA,"Hrútspungar (Prešana janjeća muda)",PRAZAN,N,"nema overrides"
3179,MD-I_KEMBE_DOLMAS_PUNJENI_GOVEDI_BURAG,"Işkembe Dolması (Punjeni goveđi burag)",PRAZAN,N,"nema overrides"
2715,MD-IDRIJSKO_KOSILO,"Idrijsko kosilo",PRAZAN,N,"nema overrides"
2510,MD-ILMAKUIVATTU_PORONPAISTI_ZRACNO_SUSENI_SOBOV_BUT,"ILMAKUIVATTU PORONPAISTI (ZRAČNO-SUŠENI SOBOV BUT)",PRAZAN,N,"nema overrides"
2530,MD-IRSKA_SUNKA_U_PIVU_BEER_CURED_HAM,"Irska šunka u pivu (Beer-Cured Ham)",PRAZAN,N,"nema overrides"
2529,MD-IRSKI_SOLJENA_GOVEDINA_CORNED_BEEF,"Irski soljena govedina (Corned Beef)",PRAZAN,N,"nema overrides"
3117,MD-IRSKI_SPICED_BEEF_ZACINJENO_SUSENO_GOVEDE_MESO,"Irski spiced beef (Začinjeno sušeno goveđe meso)",PRAZAN,N,"nema overrides"
3075,MD-JAMBON_DARDENNE_ARDENSKI_PRSUT,"Jambon d’Ardenne – ardenska šunka",PRAZAN,N,"nema overrides"
3129,MD-JAMBON_DE_BAYONNE_BAJONSKA_SUNKA,"Jambon de Bayonne (Bajonska šunka)",PRAZAN,N,"nema overrides"
2774,MD-JAMBON_PERSILLE_SUNKA_U_ZELEU_S_PERSINOM,"Jambon Persillé (Šunka u želeu s peršinom)",PRAZAN,N,"nema overrides"
3039,MD-JOULUKINKKU_BOZICNA_SUNKA,"Joulukinkku – finska božićna šunka",PRAZAN,N,"nema overrides"
3150,MD-K_STUR_HAKARL_FERMENTIRANO_MESO_GRENLANDSKOG_MORSKOG_PSA,"Kæstur Hákarl (Fermentirano meso grenlandskog morskog psa)",PRAZAN,N,"nema overrides"
3066,MD-KARNTNER_WURZELSPECK_KORUSKA_KORIJENSKA_SLANINA,"Kärntner Wurzelspeck – koruški sušeni dimljeni vrat",PRAZAN,N,"nema overrides"
3088,MD-KATINO_MEZE,"Katino Meze (Катино мезе)",PRAZAN,N,"nema overrides"
3134,MD-KAVOURMAS,"Kavourmas (Καβουρμάς)",PRAZAN,N,"nema overrides"
3153,MD-KINDZIUKAS_KINDZIUS,"Kindziukas (Kindzius)",PRAZAN,N,"nema overrides"
2554,MD-KINDZIUKAS_LITAVSKA_DIMLJENA_SUNKA,"Kindziukas (litavska dimljena šunka)",PRAZAN,N,"nema overrides"
3207,MD-KORYUSHKA_DIMLJENA_MALA_RIBA,"Koryushka (Корюшка &#8211; Dimljena mala riba)",PRAZAN,N,"nema overrides"
3091,MD-KRAISHTE_PASTARMA,"Kraishte Pastarma (Краищенска пастърма)",PRAZAN,N,"nema overrides"
3178,MD-KU_BA_JERKY_TURSKI_GOVEDI_JERKY,"Kuşbaşı Jerky (Turski goveđi jerky)",PRAZAN,N,"nema overrides"
2608,MD-KURU_ET_SUHO_MESO_SA_SMREKOM,"Kuru Et (Suho meso sa smrekom)",PRAZAN,N,"nema overrides"
3128,MD-KYLMASAVULOHI_HLADNO_DIMLJENI_LOSOS,"KYLMÄSAVULOHI (HLADNO DIMLJENI LOSOS)",PRAZAN,N,"nema overrides"
2506,MD-LAMPAAN_ILMAKUIVATTU_KYLKI_ZRACNO_SUSENA_JANJECJA_PRSA,"LAMPAAN ILMAKUIVATTU KYLKI (ZRAČNO-SUŠENA JANJEĆJA PRSA)",PRAZAN,N,"nema overrides"
3071,MD-LARD_FUME_DE_FLANDRE_FLAMANSKO_DIMLJENO_SALO,"Lard fumé de Flandre – flamanska dimljena slanina",PRAZAN,N,"nema overrides"
2555,MD-LASINIAI_LITAVSKA_SLANINA,"Lašiniai (litavska slanina)",PRAZAN,N,"nema overrides"
3154,MD-LASINIAI_TRADICIONALNA_LITAVSKA_SLANINA,"Lašiniai (Tradicionalna litavska slanina)",PRAZAN,N,"nema overrides"
3212,MD-LOMO_EMBUCHADO_ZACINJENA_SUHA_SVINJSKA_LEDA,"Lomo Embuchado &#8211; Začinjena Suha Svinjska Leđa",PRAZAN,N,"nema overrides"
2747,MD-LONZINO_LOMBO,"LONZINO (LOMBO)",PRAZAN,N,"nema overrides"
2513,MD-LONZO_CORSE,"LONZO CORSE",PRAZAN,N,"nema overrides"
3136,MD-LOUKANIKO,"Loukaniko (Λουκάνικο)",PRAZAN,N,"nema overrides"
3097,MD-LOUNTZA,"Lountza (Λούντζα)",PRAZAN,N,"nema overrides"
3188,MD-LOUNTZA_KAFTERI_LJUTA_DIMLJENA_SVINJSKA_VRATINA,"Lountza Kafteri (Λούντζα Καυτερή) &#8211; Ljuta dimljena svinjska vratina",PRAZAN,N,"nema overrides"
3102,MD-LOUNZA_DIMLJENA_SVINJSKA_POTRBUSINA,"Lounza (Λούντζα) &#8211; Dimljena svinjska potrbušina",PRAZAN,N,"nema overrides"
2543,MD-LUNDABAGGAR_DIMLJENA_PRSKALINA_OD_JANJETINE,"Lundabaggar (Dimljena prskalina od janjetine)",PRAZAN,N,"nema overrides"
3169,MD-LUTEFISK_SUSENI_BAKALAR,"LUTEFISK (SUŠENI BAKALAR)",PRAZAN,N,"nema overrides"
3159,MD-MADARSKA_DIMLJENA_SUNKA_FUSTOLT_SONKA,"Mađarska Dimljena Šunka (Füstölt Sonka)",PRAZAN,N,"nema overrides"
3158,MD-MADARSKA_SLANINA_SZALONNA,"Mađarska Slanina (Szalonna)",PRAZAN,N,"nema overrides"
3160,MD-MADARSKI_DIMLJENI_JEZIK_FUSTOLT_NYELV,"Mađarski Dimljeni Jezik (Füstölt Nyelv)",PRAZAN,N,"nema overrides"
3090,MD-MALESHEVSKA_BABICHKA,"Maleshevska Babichka (Малешевска бабичка)",PRAZAN,N,"nema overrides"
3050,MD-MALTEZANSKA_PANCETA_PANCETTA_MALTIJA,"Pancetta Maltija – malteška panceta",PRAZAN,N,"nema overrides"
2565,MD-MALTEZANSKA_SUHA_GOVEDINA_CARNE_SECCA_MALTIJA,"Maltežanska suha govedina (Carne Secca Maltija)",PRAZAN,N,"nema overrides"
2564,MD-MALTEZANSKI_PRSUT_PROSCIUTTO_MALTI,"Maltežanski pršut (Prosciutto Malti)",PRAZAN,N,"nema overrides"
3226,MD-MIASNYI_KHLIB_MESNI_KRUH,"Miasnyi Khlib (М&#8217;ясний хліб) &#8211; Mesni kruh",PRAZAN,N,"nema overrides"
3065,MD-MISH_I_THATE_ALBANSKA_SUHA_JANJETINA,"Mish i thatë – albanska suha janjetina",PRAZAN,N,"nema overrides"
3163,MD-MOSTBROCKLI_ALPSKA_SUSENA_GOVEDINA,"MOSTBRÖCKLI (ALPSKA SUŠENA GOVEDINA)",PRAZAN,N,"nema overrides"
2665,MD-MU_CHI_IG_NESC_CIGANSKI_VRAT,"MUȘCHI ȚIGĂNESC (Ciganski vrat)",PRAZAN,N,"nema overrides"
2696,MD-NASICKI_FERMENTIRANI_VRAT,"Nasički Fermentirani Vrat",PRAZAN,N,"nema overrides"
3138,MD-NOUMBOULO,"Noumboulo (Νούμπουλο)",PRAZAN,N,"nema overrides"
3191,MD-OFTO_LOUNTZA_CIPARSKA_ZRACNO_SUSENA_JANJETINA,"Ofto Lountza (Οφτή Λούντζα) &#8211; Ciparska zračno sušena janjetina",PRAZAN,N,"nema overrides"
2604,MD-OSIJECKI_LJUTI_ZACINSKI_VRAT_S_DIVLJIM_TRAVKAMA,"Osiječki Ljuti Začinski Vrat s Divljim Travkama",PRAZAN,N,"nema overrides"
2693,MD-OSJECKI_ZACINSKI_SPEK,"Osječki Začinski Špek",PRAZAN,N,"nema overrides"
2552,MD-OTOCAC_ZACINSKI_VRAT_S_PLANINE_MOUNTAINSKI_NARESAK,"Otočac Začinski Vrat s Planine (Mountainski naresak)",PRAZAN,N,"nema overrides"
3218,MD-PANCETTA_ARROTOLATA,"PANCETTA ARROTOLATA",PRAZAN,N,"nema overrides"
2062,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,"PANCETTA ARROTOLATA &#8211; ROLANA PANCETA",PRAZAN,N,"nema overrides"
3095,MD-PASTARMA,"Pastarma (Пастърма)",PRAZAN,N,"nema overrides"
2353,MD-PASTERMA_ALBANSKO_SUHO_MESO,"Pastërma (Albansko suho meso)",PRAZAN,N,"nema overrides"
3151,MD-PASTERMA_SUSENA_GOVEDINA,"Pastërma (Sušena govedina)",PRAZAN,N,"nema overrides"
3106,MD-PASTOURMA_CIPARSKI_ZACINJENI_SUSENI_GOVEDI_FILE,"Pastourma (Παστουρμάς) &#8211; Ciparski začinjeni sušeni goveđi file",PRAZAN,N,"nema overrides"
3135,MD-PASTOURMAS,"Pastourmas (Παστουρμάς)",PRAZAN,N,"nema overrides"
2575,MD-PASTRAM_DE_OAIE_OVCJA_PASTRAMA,"PASTRAMĂ DE OAIE (OVČJA PASTRAMA)",PRAZAN,N,"nema overrides"
3205,MD-PASTRAM_DE_OAIE_SUSENA_OVCETINA,"PASTRAMĂ DE OAIE (Sušena ovčetina)",PRAZAN,N,"nema overrides"
3133,MD-PIHTI,"Pihti (Πηχτή)",PRAZAN,N,"nema overrides"
3175,MD-PINNEKJ_TT_SUSENA_REBRA,"PINNEKJØTT (SUŠENA REBRA)",PRAZAN,N,"nema overrides"
3224,MD-POLENDVYTSIA_SUSENI_SVINJSKI_FILE,"Polendvytsia (Полендвиця) &#8211; Sušeni svinjski file",PRAZAN,N,"nema overrides"
3100,MD-POSYRTI,"Posyrti (Ποσυρτή)",PRAZAN,N,"nema overrides"
3122,MD-POTTED_BEEF_KONZERVIRANO_GOVEDE_MESO,"Potted Beef (konzervirano goveđe meso)",PRAZAN,N,"nema overrides"
2718,MD-PREKMURSKA_SUNKA,"Prekmurska šunka",PRAZAN,N,"nema overrides"
3185,MD-PRESUNTO_DE_PORCO_PRETO_PRSUT_OD_CRNE_IBERIJSKE_SVINJE,"Presunto de Porco Preto (Pršut od Crne Iberijske Svinje)",PRAZAN,N,"nema overrides"
2623,MD-PRESUNTO_PORTUGUES_PORTUGALSKA_PRSUTA,"Presunto Português (Portugalska pršuta)",PRAZAN,N,"nema overrides"
2714,MD-PRLESKA_TUNKA,"Prleška tünka",PRAZAN,N,"nema overrides"
2061,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,"PROSCIUTTO DI PARMA &#8211; PARMSKA ŠUNKA",PRAZAN,N,"nema overrides"
2355,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,"Proshuta Shqiptare – albanska pršuta",PRAZAN,N,"nema overrides"
3025,MD-PRSUTA_E_KOSOVES_KOSOVSKA_PRSUTA,"Pršuta e Kosovës (Kosovska pršuta)",PRAZAN,N,"nema overrides"
3176,MD-R_KELAKS_DIMLJENI_LOSOS,"RØKELAKS (DIMLJENI LOSOS)",PRAZAN,N,"nema overrides"
2557,MD-R_KYTI_LASISOS_DIMLJEN_LOSOS_NA_LITAVSKI_NACIN,"Rūkyti lašišos (dimljen losos na litavski način)",PRAZAN,N,"nema overrides"
3168,MD-RAKFISK_FERMENTIRANI_SLATKOVODNI_LOSOS,"RAKFISK (FERMENTIRANI SLATKOVODNI LOSOS)",PRAZAN,N,"nema overrides"
3174,MD-REINSDYRHJERTE_SUSENO_SRCE_SOBA,"REINSDYRHJERTE (SUŠENO SRCE SOBA)",PRAZAN,N,"nema overrides"
2449,MD-RIBBENSSTEG_DANSKA_DIMLJENA_SVINJSKA_REBRA,"Ribbenssteg (Danska dimljena svinjska rebra)",PRAZAN,N,"nema overrides"
2503,MD-RIIPUTETTU_HIRVENLIHA_SUHO_ZRELA_JELENOVINA,"RIIPUTETTU HIRVENLIHA (SUHO-ZRELA JELENOVINA)",PRAZAN,N,"nema overrides"
3114,MD-RULLEP_LSE_DANSKA_ROLANA_SUNKA,"Rullepølse (Danska rolana šunka)",PRAZAN,N,"nema overrides"
3055,MD-SALO_SLANA_SVINJECA_SLANINA,"Salo – ukrajinska slana svinjska slanina",PRAZAN,N,"nema overrides"
3228,MD-SALO_UKRAJINSKA_SLANINA,"Salo (Сало) &#8211; Ukrajinska slanina",PRAZAN,N,"nema overrides"
2717,MD-SAVINJSKI_ZELODEC_SAVINJSKI_ZELUDAC,"Savinjski želodec (Savinjski želudac)",PRAZAN,N,"nema overrides"
2508,MD-SAVUPORONLIHA_DIMLJENO_SOBOVO_MESO,"SAVUPORONLIHA (DIMLJENO SOBOVO MESO)",PRAZAN,N,"nema overrides"
2504,MD-SAVUSIIKA_DIMLJENI_SIIKA_BIJELA_RIBA,"SAVUSIIKA (DIMLJENI SIIKA &#8211; BIJELA RIBA)",PRAZAN,N,"nema overrides"
2481,MD-SEALIHA_OLIS_SVINJSKO_MESO_U_ULJU,"Sealiha õlis (Svinjsko meso u ulju)",PRAZAN,N,"nema overrides"
3144,MD-SELSHREIFAR_SUSENI_TULJANOVI_PERAJI,"Selshreifar (Sušeni tuljanovi peraji)",PRAZAN,N,"nema overrides"
3047,MD-SIGLINO_MESSINIAS,"Siglino Messinias – grčka dimljena svinjetina",PRAZAN,N,"nema overrides"
3152,MD-SKILANDIS_TRADICINIS_LIETUVISKAS_SKILANDIS,"Skilandis (Tradicinis lietuviškas skilandis)",PRAZAN,N,"nema overrides"
3140,MD-SKIRTS_AND_KIDNEYS_TRADICIONALNA_IRSKA_MARINIRANA_GOVEDA_DIJAFRAGMA,"Skirts and Kidneys (Tradicionalna irska marinirana goveđa dijafragma)",PRAZAN,N,"nema overrides"
2684,MD-SKOTSKI_HAGGIS,"ŠKOTSKI HAGGIS",PRAZAN,N,"nema overrides"
2695,MD-SLAVONSKO_BRODSKI_LJUTI_CVARCI,"Slavonsko-Brodski Ljuti Čvarci",PRAZAN,N,"nema overrides"
3170,MD-SMALAHOVE_SUSENA_OVCJA_GLAVA,"SMALAHOVE (SUŠENA OVČJA GLAVA)",PRAZAN,N,"nema overrides"
2060,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,"SOPPRESSATA CALABRESE &#8211; KALABRIJSKA SOPPRESSATA",PRAZAN,N,"nema overrides"
3061,MD-SPECK_ALTO_ADIGE,"Speck Alto Adige – južnotirolski sušeni dimljeni but",PRAZAN,N,"nema overrides"
2456,MD-SPEGESKINKE_DANSKA_SUSENA_SUNKA,"Spegeskinke (Danska sušena šunka)",PRAZAN,N,"nema overrides"
2579,MD-SPEKDIKKEN_SLANINA_S_MEDOM,"Spekdikken (Slanina s medom)",PRAZAN,N,"nema overrides"
2589,MD-SPEKELAR_SUSENA_I_DIMLJENA_JELEN_SRNETINA,"SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA)",PRAZAN,N,"nema overrides"
2598,MD-SPEKESKINKE_NORSKA_PRSUTA,"SPEKESKINKE (NORŠKA PRŠUTA)",PRAZAN,N,"nema overrides"
2733,MD-SPICKESKINKA_SVEDSKA_SUHA_SUNKA,"SPICKESKINKA (ŠVEDSKA SUHA ŠUNKA)",PRAZAN,N,"nema overrides"
3085,MD-STAROPLANINSKA_PASTRMA,"СТАРОПЛАНИНСКИ ПАСТЪРМА (Staroplaninska pastrma)",PRAZAN,N,"nema overrides"
3067,MD-STEIRISCHER_ROHSCHINKEN_STAJERSKA_SIROVA_SUNKA,"Steirischer Rohschinken – štajerska sirova šunka",PRAZAN,N,"nema overrides"
2478,MD-SUITSINK_DIMLJENA_SVINJSKA_SUNKA,"Suitsink (Dimljena svinjska šunka)",PRAZAN,N,"nema overrides"
3147,MD-SURSA_IR_HRUTSPUNGAR_ME_LYNGI_FERMENTIRANI_OVNOVSKI_TESTISI_S_VRIJESKOM,"Súrsaðir Hrútspungar Með Lyngi (Fermentirani ovnovski testisi s vrijeskom)",PRAZAN,N,"nema overrides"
3148,MD-SVI_ASULTA_ZELATINIZIRANO_JANJECE_MESO_S_GLAVE,"Sviðasulta (Želatinizirano janjeće meso s glave)",PRAZAN,N,"nema overrides"
3141,MD-SVI_DIMLJENA_JANJECA_GLAVA,"Svið (Dimljena janjeća glava)",PRAZAN,N,"nema overrides"
3208,MD-SVINAYA_VYREZKA_SUSENI_SVINJSKI_FILE,"Svinaya Vyrezka (Свиная вырезка &#8211; Sušeni svinjski file)",PRAZAN,N,"nema overrides"
3139,MD-SYGLINO,"Syglino (Σύγκλινο)",PRAZAN,N,"nema overrides"
2620,MD-SZYNKA_W_DZONA_DIMLJENA_SUNKA,"SZYNKA WĘDZONA (DIMLJENA ŠUNKA)",PRAZAN,N,"nema overrides"
2480,MD-TALLELIHA_POLUTRAJNO_SUSENA_GOVEDINA,"Talleliha (Polutrajno sušena govedina)",PRAZAN,N,"nema overrides"
3029,MD-TIROLER_SPECK_TIROLSKA_SLANINA,"Tiroler Speck – tirolski sušeni dimljeni svinjski but",PRAZAN,N,"nema overrides"
3143,MD-TORF_R_UR_LAMBAHRYGGUR_ZAKOPANA_JANJECA_LEDA,"Torfær​ður Lambahryggur (Zakopana janjeća leđa)",PRAZAN,N,"nema overrides"
