Br.,Naziv recepta/proizvoda,Status za bazu,Razlog odluke,Skupina,Broj izvora,Oznake izvora,Izvorne datoteke
214,Sremske kobasice,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,6,"IZV-17, IZV-07, IZV-12, IZV-01, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 322551869-Sremske-kobasice.txt; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
215,Sremski domaći kulen,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
226,Svinjska užička pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-10,260924825-suhomesnati-proizvodi.docx
231,Turijska kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
234,Unski sudžuk,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,1,IZV-10,260924825-suhomesnati-proizvodi.docx
236,Užička goveđa pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
237,Užička ovčija pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
238,Užička slanina,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-10,260924825-suhomesnati-proizvodi.docx
239,Užička svinjska pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
251,Zlatiborska kobasica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kobasice i pečenice,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
252,Zlatiborska pršuta,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,"Slanine, šunke, pršuti i cijeli komadi",1,IZV-17,224336073-Proizvodi-Od-Mesa-a5.pdf
260,Đevenica,KANDIDAT_PROIZVOD_DRYCURED,Naziv označava mesni/suhomesnati proizvod ili proizvodnu recepturu; ulazi u radni popis za pojedinačnu provjeru.,Kulen / sudžuk / veliki punjeni proizvodi,5,"IZV-17, IZV-07, IZV-12, IZV-03, IZV-05",224336073-Proizvodi-Od-Mesa-a5.pdf; 252216929-Kobasice-recepti.docx; 294416263-Recepti-Za-Kobasice.pdf; 54317045-kavurma-kobasice-kulen.odt; 77266164-Recepti-za-kobasice.pdf
