post_id,title,slug,status,url,country_meta,region_meta,code_meta,best_source_candidate,best_score,comparison_note
2186,Slavonski kulen / Slavonski kulin — ZOZP,hr-slv-kul-zozp-001,draft,https://drycured.com/?post_type=dry_recipe&p=2186,,,HR-SLV-KUL-ZOZP-001,Slavonske kobasice,0.449,SERVER_HR_STRICT_NOT_IN_SOURCE
2187,Slavonska kobasica — ZOZP,hr-slv-kob-zozp-001,draft,https://drycured.com/?post_type=dry_recipe&p=2187,,,HR-SLV-KOB-ZOZP-001,Slavonske kobasice,0.889,SERVER_HR_STRICT_NOT_IN_SOURCE
2188,Slavonska cajna kobasica — tradicijska,hr-slv-caj-trad-001,draft,https://drycured.com/?post_type=dry_recipe&p=2188,,,HR-SLV-CAJ-TRAD-001,Slavonske kobasice,0.593,SERVER_HR_STRICT_NOT_IN_SOURCE
2189,Slavonska sušena slanina / Slavonski špek,hr-slv-sla-trad-001,draft,https://drycured.com/?post_type=dry_recipe&p=2189,,,HR-SLV-SLA-TRAD-001,Domaće slaninske kobasice,0.406,SERVER_HR_STRICT_NOT_IN_SOURCE
2224,Domaći pršut,hr-cjp-prs-001,draft,https://drycured.com/?post_type=dry_recipe&p=2224,,,HR-CJP-PRS-001,Domaći kulin,0.667,SERVER_HR_STRICT_NOT_IN_SOURCE
2225,Suha šunka,hr-cjp-sun-001,draft,https://drycured.com/?post_type=dry_recipe&p=2225,,,HR-CJP-SUN-001,Primorska šunka,0.640,SERVER_HR_STRICT_NOT_IN_SOURCE
2226,Suha lopatica / plećka,hr-cjp-ple-001,draft,https://drycured.com/?post_type=dry_recipe&p=2226,,,HR-CJP-PLE-001,Lovačka pašteta,0.514,SERVER_HR_STRICT_NOT_IN_SOURCE
2227,Svinjska rolanka,hr-cjp-rol-001,draft,https://drycured.com/?post_type=dry_recipe&p=2227,,,HR-CJP-ROL-001,Baranjska salama,0.562,SERVER_HR_STRICT_NOT_IN_SOURCE
2228,Domaća slanina / panceta,hr-cjp-pan-001,draft,https://drycured.com/?post_type=dry_recipe&p=2228,,,HR-CJP-PAN-001,Domaće slaninske kobasice,0.638,SERVER_HR_STRICT_NOT_IN_SOURCE
2229,Suha vratina,hr-cjp-vra-001,draft,https://drycured.com/?post_type=dry_recipe&p=2229,,,HR-CJP-VRA-001,Kulen Baranjac,0.462,SERVER_HR_STRICT_NOT_IN_SOURCE
2230,Suhi kare / pečenica,hr-cjp-kar-001,draft,https://drycured.com/?post_type=dry_recipe&p=2230,,,HR-CJP-KAR-001,Alpske pečenice,0.667,SERVER_HR_STRICT_NOT_IN_SOURCE
2231,Suha rebra,hr-cjp-reb-001,draft,https://drycured.com/?post_type=dry_recipe&p=2231,,,HR-CJP-REB-001,Kulinova seka,0.435,SERVER_HR_STRICT_NOT_IN_SOURCE
2232,Suhe koljenice,hr-cjp-kol-001,draft,https://drycured.com/?post_type=dry_recipe&p=2232,,,HR-CJP-KOL-001,Ljute kobasice,0.571,SERVER_HR_STRICT_NOT_IN_SOURCE
2233,Suhe nogice i rep,hr-cjp-nor-001,draft,https://drycured.com/?post_type=dry_recipe&p=2233,,,HR-CJP-NOR-001,Ljute kobasice,0.452,SERVER_HR_STRICT_NOT_IN_SOURCE
2275,Sinjski Sudžuk,hr-rec-041,draft,https://drycured.com/?post_type=dry_recipe&p=2275,,,HR-REC-041,Sirijski sudžuk,0.897,SERVER_HR_STRICT_NOT_IN_SOURCE
2292,Međimurske Crne Čurke,hr-rec-058,draft,https://drycured.com/?post_type=dry_recipe&p=2292,,,HR-REC-058,Samoborske češnjovke,0.488,SERVER_HR_STRICT_NOT_IN_SOURCE
2294,Domaće Tlačenice,hr-rec-060,draft,https://drycured.com/?post_type=dry_recipe&p=2294,,,HR-REC-060,Domaće pečenice,0.839,SERVER_HR_STRICT_NOT_IN_SOURCE
2464,StarohrvatskiMore-Kopno Salamet (Salama Maritima),starohrvatskimore-kopno-salamet-salama-maritima,publish,https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,,,MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,Starogradske kobasice,0.577,SERVER_HR_STRICT_NOT_IN_SOURCE
2551,Senj Začinski Vrat (Specifični nasoljavani vrat),senj-zacinski-vrat-specificni-nasoljavani-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2551,,,MD-SENJ_ZACINSKI_VRAT_SPECIFICNI_NASOLJAVANI_VRAT,Začinske kobasice,0.457,SERVER_HR_STRICT_NOT_IN_SOURCE
2602,Đakovački Specijalni Fermentirani Vrat,dakovacki-specijalni-fermentirani-vrat,draft,https://drycured.com/?post_type=dry_recipe&p=2602,,,HRV-AKOVACKI-SPECIJALNI-FERMENTIRA,Đakovački kulen,0.491,SERVER_HR_STRICT_NOT_IN_SOURCE
2633,Senjska Šunka,senjska-sunka,publish,https://drycured.com/recepti-baza/senjska-sunka/,,,MD-SENJSKA_SUNKA,Primorska šunka,0.643,SERVER_HR_STRICT_NOT_IN_SOURCE
2695,Slavonsko-Brodski Ljuti Čvarci,slavonsko-brodski-ljuti-cvarci,publish,https://drycured.com/recepti-baza/slavonsko-brodski-ljuti-cvarci/,,,MD-SLAVONSKO_BRODSKI_LJUTI_CVARCI,Slavonske kobasice,0.542,SERVER_HR_STRICT_NOT_IN_SOURCE
2697,Baranjska Ljuta Slavonska Kobasica,baranjska-ljuta-slavonska-kobasica,publish,https://drycured.com/recepti-baza/baranjska-ljuta-slavonska-kobasica/,,,MD-BARANJSKA_LJUTA_SLAVONSKA_KOBASICA,Baranjska kobasica,0.692,SERVER_HR_STRICT_NOT_IN_SOURCE
2698,Slavonska Domaća Suhomesnata Salama,slavonska-domaca-suhomesnata-salama,publish,https://drycured.com/recepti-baza/slavonska-domaca-suhomesnata-salama/,,,MD-SLAVONSKA_DOMACA_SUHOMESNATA_SALAMA,Domaća salama,0.542,SERVER_HR_STRICT_NOT_IN_SOURCE
2699,Baranjska Fermenetirana Kobasica,baranjska-fermenetirana-kobasica,publish,https://drycured.com/recepti-baza/baranjska-fermenetirana-kobasica/,,,MD-BARANJSKA_FERMENETIRANA_KOBASICA,Baranjska kobasica,0.720,SERVER_HR_STRICT_NOT_IN_SOURCE
2702,Baranjski Začinski Špek s Pustara Začinima,baranjski-zacinski-spek-s-pustara-zacinima,publish,https://drycured.com/recepti-baza/baranjski-zacinski-spek-s-pustara-zacinima/,,,MD-BARANJSKI_ZACINSKI_SPEK_S_PUSTARA_ZACINIMA,Baranjska salama,0.517,SERVER_HR_STRICT_NOT_IN_SOURCE
2704,Osječko-Baranjski Ljuti Špek s Divljim Travama,osjecko-baranjski-ljuti-spek-s-divljim-travama,publish,https://drycured.com/recepti-baza/osjecko-baranjski-ljuti-spek-s-divljim-travama/,,,MD-OSJECKO_BARANJSKI_LJUTI_SPEK_S_DIVLJIM_TRAVAMA,Baranjska salama,0.452,SERVER_HR_STRICT_NOT_IN_SOURCE
2706,Tradicijski Baranjski Specijalni Fermentirani Špek,tradicijski-baranjski-specijalni-fermentirani-spek,private,https://drycured.com/?post_type=dry_recipe&p=2706,,,MD-TRADICIJSKI_BARANJSKI_SPECIJALNI_FERMENTIRANI_SPEK,Baranjska salama,0.424,SERVER_HR_STRICT_NOT_IN_SOURCE
2779,Slavonski cviček (suhomesnati narez),slavonski-cvicek-suhomesnati-narez,publish,https://drycured.com/recepti-baza/slavonski-cvicek-suhomesnati-narez/,,,MD-SLAVONSKI_CVICEK_SUHOMESNATI_NAREZ,Slavonske kobasice,0.706,SERVER_HR_STRICT_NOT_IN_SOURCE
2780,Slavonski pikantni vrat,slavonski-pikantni-vrat,publish,https://drycured.com/recepti-baza/slavonski-pikantni-vrat/,,,MD-SLAVONSKI_PIKANTNI_VRAT,Gurmanska pašteta,0.450,SERVER_HR_STRICT_NOT_IN_SOURCE
2781,Esencijalni slavonski sušeni vrat s divljim začinima,esencijalni-slavonski-suseni-vrat-s-divljim-zacinima,publish,https://drycured.com/recepti-baza/esencijalni-slavonski-suseni-vrat-s-divljim-zacinima/,,,MD-ESENCIJALNI_SLAVONSKI_SUSENI_VRAT_S_DIVLJIM_ZACINIMA,Teleća ili svinjska jetrena pašteta,0.437,SERVER_HR_STRICT_NOT_IN_SOURCE
2972,Slavonski kulen (PDO EU),hr-sl-001-slavonski-kulen-pdo-eu,publish,https://drycured.com/recepti-baza/hr-sl-001-slavonski-kulen-pdo-eu/,,,HR-SL-001,Slavonske kobasice,0.667,SERVER_HR_STRICT_NOT_IN_SOURCE
2973,Kulenova seka,hr-sl-002-kulenova-seka,publish,https://drycured.com/recepti-baza/hr-sl-002-kulenova-seka/,,,HR-SL-002,Kulinova seka,0.923,SERVER_HR_STRICT_NOT_IN_SOURCE
2974,Baranjski kulen (ZOZP EU),hr-sl-003-baranjski-kulen-zozp-eu,publish,https://drycured.com/recepti-baza/hr-sl-003-baranjski-kulen-zozp-eu/,,,HR-SL-003,Đakovački kulen,0.667,SERVER_HR_STRICT_NOT_IN_SOURCE
2976,Slavonska domaća kobasica,hr-sl-005-slavonska-domaca-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-005-slavonska-domaca-kobasica/,,,HR-SL-005,Slavonske kobasice,0.744,SERVER_HR_STRICT_NOT_IN_SOURCE
2977,Srijemska kobasica (OGP),hr-sl-006-srijemska-kobasica-ogp,publish,https://drycured.com/recepti-baza/hr-sl-006-srijemska-kobasica-ogp/,,,HR-SL-006,Srijemske kobasice,0.889,SERVER_HR_STRICT_NOT_IN_SOURCE
2981,Slavonska kobasica (ZOI EU 2023),hr-sl-010-slavonska-kobasica-zoi-eu-2023,publish,https://drycured.com/recepti-baza/hr-sl-010-slavonska-kobasica-zoi-eu-2023/,,,HR-SL-010,Slavonske kobasice,0.889,SERVER_HR_STRICT_NOT_IN_SOURCE
2982,Slavonska dimljena slanina,hr-sl-012-slavonska-dimljena-slanina,private,https://drycured.com/?post_type=dry_recipe&p=2982,,,HR-SL-012,Slavonske kobasice,0.500,SERVER_HR_STRICT_NOT_IN_SOURCE
2983,Slavonska dimljena šunka,hr-sl-014-slavonska-dimljena-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2983,,,HR-SL-014,Slavonske kobasice,0.524,SERVER_HR_STRICT_NOT_IN_SOURCE
2984,Suha plećka slavonska,hr-sl-015-suha-plecka-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2984,,,HR-SL-015,Domaća salama,0.471,SERVER_HR_STRICT_NOT_IN_SOURCE
2985,Suha rebra slavonska,hr-sl-016-suha-rebra-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2985,,,HR-SL-016,Slavonske kobasice,0.474,SERVER_HR_STRICT_NOT_IN_SOURCE
2986,Slavonska jetrena kobasica,hr-sl-017-slavonska-jetrena-kobasica,private,https://drycured.com/?post_type=dry_recipe&p=2986,,,HR-SL-017,Slavonske kobasice,0.773,SERVER_HR_STRICT_NOT_IN_SOURCE
2987,Krvavica slavonska,hr-sl-018-krvavica-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2987,,,HR-SL-018,Domaća salama,0.516,SERVER_HR_STRICT_NOT_IN_SOURCE
2988,Tlačenica slavonska (švargl),hr-sl-019-tlacenica-slavonska-svargl,private,https://drycured.com/?post_type=dry_recipe&p=2988,,,HR-SL-019,Domaća salama,0.500,SERVER_HR_STRICT_NOT_IN_SOURCE
2989,Vinkovačka šunka — suho soljena varijanta,hr-sl-020-vinkovacka-sunka-suho-soljena-varijanta,private,https://drycured.com/?post_type=dry_recipe&p=2989,,,HR-SL-020,Lovačka pašteta,0.407,SERVER_HR_STRICT_NOT_IN_SOURCE
2990,Slavonski lovački kulen (divljač + svinjetina),hr-sl-021-slavonski-lovacki-kulen-divljac-svinjetina,private,https://drycured.com/?post_type=dry_recipe&p=2990,,,HR-SL-021,Đakovački kulen,0.737,SERVER_HR_STRICT_NOT_IN_SOURCE
2991,"Konjska salama Ploštine (talijanska manjina, Pakrac)",hr-sl-022-konjska-salama-plostine-talijanska-manjina-pakrac,private,https://drycured.com/?post_type=dry_recipe&p=2991,,,HR-SL-022,Baranjska salama,0.615,SERVER_HR_STRICT_NOT_IN_SOURCE
2992,Slavonski dimljeni svinjski vrat,hr-sl-024-slavonski-dimljeni-svinjski-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2992,,,HR-SL-024,Teleća ili svinjska jetrena pašteta,0.507,SERVER_HR_STRICT_NOT_IN_SOURCE
2993,Slavonski suhi vrat (ovratina),hr-sl-027-slavonski-suhi-vrat-ovratina,private,https://drycured.com/?post_type=dry_recipe&p=2993,,,HR-SL-027,Slavonske kobasice,0.486,SERVER_HR_STRICT_NOT_IN_SOURCE
2994,Baranjska šunka,hr-sl-028-baranjska-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2994,,,HR-SL-028,Domaća baranjska šunka,0.811,SERVER_HR_STRICT_NOT_IN_SOURCE
2995,Đakovačka šunka,hr-sl-029-dakovacka-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2995,,,HR-SL-029,Đakovački kulen,0.733,SERVER_HR_STRICT_NOT_IN_SOURCE
2996,Brodska kobasica (Slavonski Brod),hr-sl-030-brodska-kobasica-slavonski-brod,publish,https://drycured.com/recepti-baza/hr-sl-030-brodska-kobasica-slavonski-brod/,,,HR-SL-030,Baranjska kobasica,0.824,SERVER_HR_STRICT_NOT_IN_SOURCE
2997,Osječka kobasica,hr-sl-031-osjecka-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-031-osjecka-kobasica/,,,HR-SL-031,Seljačke kobasice,0.727,SERVER_HR_STRICT_NOT_IN_SOURCE
2998,Slavonska krvavica od prosa (bijela),hr-sl-032-slavonska-krvavica-od-prosa-bijela,private,https://drycured.com/?post_type=dry_recipe&p=2998,,,HR-SL-032,Slavonske kobasice,0.578,SERVER_HR_STRICT_NOT_IN_SOURCE
2999,Slavonska šunka od crne slavonske svinje,hr-sl-033-slavonska-sunka-od-crne-slavonske-svinje,private,https://drycured.com/?post_type=dry_recipe&p=2999,,,HR-SL-033,Domaće slaninske kobasice,0.462,SERVER_HR_STRICT_NOT_IN_SOURCE
3000,Slavonska domaća salama,hr-sl-034-slavonska-domaca-salama,publish,https://drycured.com/recepti-baza/hr-sl-034-slavonska-domaca-salama/,,,HR-SL-034,Domaća salama,0.722,SERVER_HR_STRICT_NOT_IN_SOURCE
3001,Slavonska čvarkovača (kobasica od čvaraka),hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka,publish,https://drycured.com/recepti-baza/hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka/,,,HR-SL-036,Slavonske kobasice,0.684,SERVER_HR_STRICT_NOT_IN_SOURCE
3002,Vinkovačka kobasica,hr-sl-037-vinkovacka-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-037-vinkovacka-kobasica/,,,HR-SL-037,Đakovačke kobasice,0.757,SERVER_HR_STRICT_NOT_IN_SOURCE
3003,Slavonska lovačka kobasica (divljač + svinjetina),hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina,publish,https://drycured.com/recepti-baza/hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina/,,,HR-SL-038,Slavonske kobasice,0.727,SERVER_HR_STRICT_NOT_IN_SOURCE
3005,Cvelferija kulen — varijanta bez slanine,hr-sl-003,private,https://drycured.com/?post_type=dry_recipe&p=3005,,,HR-SL-003,Kulen Baranjac,0.385,SERVER_HR_STRICT_NOT_IN_SOURCE
3006,Vinkovačka šunka,hr-sl-022,private,https://drycured.com/?post_type=dry_recipe&p=3006,,,HR-SL-022,Primorska šunka,0.645,SERVER_HR_STRICT_NOT_IN_SOURCE
3007,Samoborska salama (županijska robna marka),hr-sl-025,private,https://drycured.com/?post_type=dry_recipe&p=3007,,,HR-SL-025,Baranjska salama,0.727,SERVER_HR_STRICT_NOT_IN_SOURCE
3008,Dalmatinska suha šunka,hr-sl-034,private,https://drycured.com/?post_type=dry_recipe&p=3008,,,HR-SL-034,Domaća baranjska šunka,0.591,SERVER_HR_STRICT_NOT_IN_SOURCE
3009,Dalmatinska suha kobasica,hr-sl-038,private,https://drycured.com/?post_type=dry_recipe&p=3009,,,HR-SL-038,Baranjska kobasica,0.698,SERVER_HR_STRICT_NOT_IN_SOURCE
3010,Hvarska prstena kobasica,hr-sl-039,private,https://drycured.com/?post_type=dry_recipe&p=3010,,,HR-SL-039,Baranjska kobasica,0.667,SERVER_HR_STRICT_NOT_IN_SOURCE
3011,Sinjaška kobasica (Cetinska krajina),hr-sl-040,private,https://drycured.com/?post_type=dry_recipe&p=3011,,,HR-SL-040,Sinjske kobasice,0.848,SERVER_HR_STRICT_NOT_IN_SOURCE
3012,Dalmatinska dimljena slanina,hr-sl-043,private,https://drycured.com/?post_type=dry_recipe&p=3012,,,HR-SL-043,Baranjska salama,0.500,SERVER_HR_STRICT_NOT_IN_SOURCE
3013,Istarska špaleta (suha plećka),hr-sl-067,private,https://drycured.com/?post_type=dry_recipe&p=3013,,,HR-SL-067,Baranjska salama,0.625,SERVER_HR_STRICT_NOT_IN_SOURCE
3014,Zagorska dimljena šunka,hr-sl-083,private,https://drycured.com/?post_type=dry_recipe&p=3014,,,HR-SL-083,Primorska šunka,0.579,SERVER_HR_STRICT_NOT_IN_SOURCE
3015,Međimurska šunka,hr-sl-084,private,https://drycured.com/?post_type=dry_recipe&p=3015,,,HR-SL-084,Primorska šunka,0.774,SERVER_HR_STRICT_NOT_IN_SOURCE
3016,Zagorska tlačenica,hr-sl-091,private,https://drycured.com/?post_type=dry_recipe&p=3016,,,HR-SL-091,Goriške pečenice,0.647,SERVER_HR_STRICT_NOT_IN_SOURCE
3017,Gospićka suha plećka,hr-sl-109,private,https://drycured.com/?post_type=dry_recipe&p=3017,,,HR-SL-109,Primorska šunka,0.514,SERVER_HR_STRICT_NOT_IN_SOURCE
3018,Banovinska tlačenica,hr-sl-115,private,https://drycured.com/?post_type=dry_recipe&p=3018,,,HR-SL-115,Baranjska kobasica,0.579,SERVER_HR_STRICT_NOT_IN_SOURCE
3109,Bjelopavlićka bumbar-pita,bjelopavlicka-bumbar-pita,private,https://drycured.com/?post_type=dry_recipe&p=3109,,,MD-BJELOPAVLICKA_BUMBAR_PITA,Lovačka pašteta,0.500,SERVER_HR_STRICT_NOT_IN_SOURCE
3156,Lički Planinarski Navršak,licki-planinarski-navrsak,publish,https://drycured.com/recepti-baza/licki-planinarski-navrsak/,,,MD-LICKI_PLANINARSKI_NAVRSAK,Domaće slaninske kobasice,0.400,SERVER_HR_STRICT_NOT_IN_SOURCE
3177,Đakovački Specijalni Fermentirani Vrat,akovacki-specijalni-fermentirani-vrat,private,https://drycured.com/?post_type=dry_recipe&p=3177,,,MD-DAKOVACKI_SPECIJALNI_FERMENTIRANI_VRAT,Đakovački kulen,0.491,SERVER_HR_STRICT_NOT_IN_SOURCE
3200,"Podravski ""Zaboravljeni Vrbovec""",podravski-zaboravljeni-vrbovec,publish,https://drycured.com/recepti-baza/podravski-zaboravljeni-vrbovec/,,,MD-PODRAVSKI_ZABORAVLJENI_VRBOVEC,Podravske kobasice,0.417,SERVER_HR_STRICT_NOT_IN_SOURCE
3308,Istarska kobasica,hr-is-001-istarska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-001-istarska-kobasica/,,,HR-IS-001,Istarske kobasice,0.882,SERVER_HR_STRICT_NOT_IN_SOURCE
3309,Rovinjska kobasica,hr-is-002-rovinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-002-rovinjska-kobasica/,,,HR-IS-002,Baranjska kobasica,0.833,SERVER_HR_STRICT_NOT_IN_SOURCE
3310,Pazinska kobasica,hr-is-003-pazinska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-003-pazinska-kobasica/,,,HR-IS-003,Baranjska kobasica,0.800,SERVER_HR_STRICT_NOT_IN_SOURCE
3311,Lička kobasica,hr-li-001-licka-kobasica,publish,https://drycured.com/recepti-baza/hr-li-001-licka-kobasica/,,,HR-LI-001,Ličke kobasice,0.857,SERVER_HR_STRICT_NOT_IN_SOURCE
3312,Sinjska kobasica,hr-da-001-sinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-da-001-sinjska-kobasica/,,,HR-DA-001,Sinjske kobasice,0.875,SERVER_HR_STRICT_NOT_IN_SOURCE
3313,Korčulanska kobasica,hr-da-002-korculanska-kobasica,publish,https://drycured.com/recepti-baza/hr-da-002-korculanska-kobasica/,,,HR-DA-002,Baranjska kobasica,0.789,SERVER_HR_STRICT_NOT_IN_SOURCE
3314,Hvarska prstena kobasica,hr-da-003-hvarska-prstena-kobasica,publish,https://drycured.com/recepti-baza/hr-da-003-hvarska-prstena-kobasica/,,,HR-DA-003,Baranjska kobasica,0.667,SERVER_HR_STRICT_NOT_IN_SOURCE
3315,Vrgorački kulen,hr-da-004-vrgoracki-kulen,publish,https://drycured.com/recepti-baza/hr-da-004-vrgoracki-kulen/,,,HR-DA-004,Đakovački kulen,0.733,SERVER_HR_STRICT_NOT_IN_SOURCE
3524,PREVIEW CANON — Slavonska kobasica,preview-canon-preview-canon-slavonska-kobasica-src-2976,private,https://drycured.com/?post_type=dry_recipe&p=3524,,,HR-SL-005,Slavonske kobasice,0.640,SERVER_HR_STRICT_NOT_IN_SOURCE
3532,PREVIEW GRANULACIJA — Kulenova seka,preview-granulation-kulenova-seka-src-2973,private,https://drycured.com/?post_type=dry_recipe&p=3532,,,HR-SL-002,Kulinova seka,0.522,SERVER_HR_STRICT_NOT_IN_SOURCE
