post_id,title,url,post_status,detected_type,confidence,score_ground,score_whole,score_thermal,score_fish,has_granulation,has_fat_handling,has_casing,has_brine_or_cure,has_thermal_process,has_thermal_params,has_cold_chain,has_smoking,has_drying,has_aging,has_phase_time_or_params,has_nitrite,has_nitrite_note,has_fallback_internal,has_problem_signal,has_solution_signal,public_fetch_status,public_fetch_error,audit_status,public_update_gate,block_reasons,v1_1_final_type,v1_1_type_source,v1_1_type_reason,v1_1_public_update_gate,v1_1_block_reasons,v1_1_work_priority
1985,SPECK ALTO ADIGE,https://drycured.com/?post_type=dry_recipe&p=1985,draft,WHOLE_CUT,medium,1,3,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,WHOLE_CUT,KEEP,WHOLE_CUT_TITLE:speck,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1986,LARDO DI COLONNATA,https://drycured.com/recepti-baza/lardo-di-colonnata/,publish,GROUND_MEAT_OR_CASING,high,7,5,0,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,200,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,WHOLE_CUT,RECLASSIFY,WHOLE_CUT_TITLE:lardo,PASS,,B_PUBLIC_REVIEW_READY
1987,Privatno: MORTADELLA BOLOGNA,https://drycured.com/?post_type=dry_recipe&p=1987,private,GROUND_MEAT_OR_CASING,high,10,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,,TYPE_PASS_MISSING_FIELDS,FAIL,NITRITE_WITHOUT_SAFETY_NOTE,THERMAL_PROCESSED,RECLASSIFY,THERMAL_TITLE:mortadella,FAIL,NITRITE_WITHOUT_SAFETY_NOTE,C_NONPUBLIC_BLOCKED
1988,SOPPRESSA VICENTINA,https://drycured.com/recepti-baza/soppressa-vicentina/,publish,GROUND_MEAT_OR_CASING,high,8,2,0,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,200,,TYPE_PASS_PUBLIC_TEXT_BLOCKED,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,GROUND_MEAT_OR_CASING,KEEP,,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,A_PUBLIC_BLOCKED
1989,Privatno: PORCHETTA ROMANA,https://drycured.com/?post_type=dry_recipe&p=1989,private,GROUND_MEAT_OR_CASING,high,6,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,D_NONPUBLIC_REVIEW_READY
1990,SALAME DI FELINO,https://drycured.com/recepti-baza/salame-di-felino/,publish,GROUND_MEAT_OR_CASING,high,11,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,200,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,B_PUBLIC_REVIEW_READY
1991,GUANCIALE ROMANO,https://drycured.com/recepti-baza/guanciale-romano/,publish,GROUND_MEAT_OR_CASING,medium,7,6,0,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,200,,TYPE_PASS_PUBLIC_TEXT_BLOCKED,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,WHOLE_CUT,RECLASSIFY,WHOLE_CUT_TITLE:guanciale,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,A_PUBLIC_BLOCKED
1992,Engleska Cumberland Kobasica,https://drycured.com/?post_type=dry_recipe&p=1992,draft,GROUND_MEAT_OR_CASING,medium,4,3,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1993,Škotska Lorne Kobasica,https://drycured.com/?post_type=dry_recipe&p=1993,draft,GROUND_MEAT_OR_CASING,medium,4,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1994,Islandska Hangikjöt Kobasica,https://drycured.com/?post_type=dry_recipe&p=1994,draft,GROUND_MEAT_OR_CASING,medium,4,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;PROBLEM_WITHOUT_SOLUTION_SIGNAL,WHOLE_CUT,RECLASSIFY,CALIBRATION_ACCEPTED:TITLE_WHOLE_CUT_SIGNAL:hangikjot,FAIL,GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;PROBLEM_WITHOUT_SOLUTION_SIGNAL;WHOLE_CUT_MISSING_CURE_OR_BRINE,C_NONPUBLIC_BLOCKED
1995,Privatno: Posavska Krvavica sa Šumskim Začinima,https://drycured.com/?post_type=dry_recipe&p=1995,private,GROUND_MEAT_OR_CASING,high,7,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,THERMAL_PROCESSED,RECLASSIFY,THERMAL_TITLE:krvavica,PASS,,D_NONPUBLIC_REVIEW_READY
1996,Tradicionalni suhomesnati proizvodi Slavonije,https://drycured.com/?post_type=dry_recipe&p=1996,draft,NEEDS_CLASSIFICATION,none,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,,,NEEDS_CLASSIFICATION,FAIL,NEEDS_CLASSIFICATION;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,KEEP,,FAIL,NEEDS_CLASSIFICATION;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1997,Etnografska studija kulinarskog naslijeđa,https://drycured.com/?post_type=dry_recipe&p=1997,draft,GROUND_MEAT_OR_CASING,low,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:etnografska studija,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
1998,Tradicionalni suhomesnati proizvodi,https://drycured.com/?post_type=dry_recipe&p=1998,draft,GROUND_MEAT_OR_CASING,low,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
1999,Salo (Сало) &#8211; Ukrajinska slanina,https://drycured.com/?post_type=dry_recipe&p=1999,draft,WHOLE_CUT,high,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,WHOLE_CUT,KEEP,WHOLE_CUT_TITLE:slanina,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2000,Domašnja Kovbasa (Домашня ковбаса) &#8211; Domaća kobasica,https://drycured.com/?post_type=dry_recipe&p=2000,draft,GROUND_MEAT_OR_CASING,high,5,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2001,Kholodets (Холодець) &#8211; Hladetina od mesa,https://drycured.com/?post_type=dry_recipe&p=2001,draft,WHOLE_CUT,low,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,WHOLE_CUT_MISSING_CURE_OR_BRINE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,THERMAL_PROCESSED,RECLASSIFY,THERMAL_TITLE:hladetina,FAIL,WHOLE_CUT_MISSING_CURE_OR_BRINE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;THERMAL_MISSING_PROCESS,C_NONPUBLIC_BLOCKED
2002,Solonina (Солонина) &#8211; Salamurena govedina,https://drycured.com/?post_type=dry_recipe&p=2002,draft,WHOLE_CUT,low,1,2,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,WHOLE_CUT,KEEP,,FAIL,PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2003,Shukhevychivska Kovbasa (Шухевичівська ковбаса) &#8211; Sušena kobasica s paprom,https://drycured.com/?post_type=dry_recipe&p=2003,draft,GROUND_MEAT_OR_CASING,medium,3,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2004,Pashtetna (Паштетна) &#8211; Pečena mesna pašteta,https://drycured.com/?post_type=dry_recipe&p=2004,draft,WHOLE_CUT,medium,1,3,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,,,TYPE_PASS_MISSING_FIELDS,FAIL,WHOLE_CUT_MISSING_CURE_OR_BRINE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,THERMAL_PROCESSED,RECLASSIFY,THERMAL_TITLE:pasteta,FAIL,WHOLE_CUT_MISSING_CURE_OR_BRINE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2005,UJEDINJENO KRALJEVSTVO &#8211; Tradicionalni recepti,https://drycured.com/?post_type=dry_recipe&p=2005,draft,GROUND_MEAT_OR_CASING,low,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,"NOISE_OR_COLLECTION:tradicionalni recepti,ujedinjeno kraljevstvo",FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
2006,Cumberland Sausage,https://drycured.com/?post_type=dry_recipe&p=2006,draft,GROUND_MEAT_OR_CASING,low,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2007,Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe,https://drycured.com/?post_type=dry_recipe&p=2007,draft,NEEDS_CLASSIFICATION,low,2,1,0,2,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,,,NEEDS_CLASSIFICATION,FAIL,NEEDS_CLASSIFICATION;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:kompleksna zbirka,FAIL,NEEDS_CLASSIFICATION;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2008,GRČKA &#8211; Tradicionalni recepti za Loukaniko,https://drycured.com/?post_type=dry_recipe&p=2008,draft,NEEDS_CLASSIFICATION,low,2,1,0,2,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,,,NEEDS_CLASSIFICATION,FAIL,NEEDS_CLASSIFICATION;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,"NOISE_OR_COLLECTION:tradicionalni recepti,recepti za,grcka",FAIL,NEEDS_CLASSIFICATION;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2009,Tradicionalni Loukaniko sa Krete,https://drycured.com/?post_type=dry_recipe&p=2009,draft,NEEDS_CLASSIFICATION,low,2,1,0,2,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,,,NEEDS_CLASSIFICATION,FAIL,NEEDS_CLASSIFICATION;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,KEEP,,FAIL,NEEDS_CLASSIFICATION;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2010,Makedončki Loukaniko sa Planinom,https://drycured.com/?post_type=dry_recipe&p=2010,draft,GROUND_MEAT_OR_CASING,low,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2011,Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe,https://drycured.com/?post_type=dry_recipe&p=2011,draft,WHOLE_CUT,low,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,WHOLE_CUT_MISSING_CURE_OR_BRINE;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:kompleksna zbirka,FAIL,WHOLE_CUT_MISSING_CURE_OR_BRINE;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
2012,FRANCUSKA &#8211; Tradicionalni recepti za saucisson,https://drycured.com/?post_type=dry_recipe&p=2012,draft,GROUND_MEAT_OR_CASING,low,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,"NOISE_OR_COLLECTION:tradicionalni recepti,recepti za,francuska",FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
2013,Saucisson sec iz Lyona,https://drycured.com/?post_type=dry_recipe&p=2013,draft,GROUND_MEAT_OR_CASING,low,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2014,Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe,https://drycured.com/?post_type=dry_recipe&p=2014,draft,GROUND_MEAT_OR_CASING,low,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,NOISE_OR_COLLECTION:kompleksna zbirka,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
2015,ČEŠKA &#8211; Tradicionalni recepti,https://drycured.com/?post_type=dry_recipe&p=2015,draft,GROUND_MEAT_OR_CASING,low,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,NEEDS_CLASSIFICATION,BLOCK,"NOISE_OR_COLLECTION:tradicionalni recepti,ceska",FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL;NEEDS_CLASSIFICATION,C_NONPUBLIC_BLOCKED
2016,Lovecká Saláma (Lovačka salama),https://drycured.com/?post_type=dry_recipe&p=2016,draft,GROUND_MEAT_OR_CASING,low,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,,TYPE_CONFLICT_NEEDS_REVIEW,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,GROUND_MEAT_OR_CASING,KEEP,,FAIL,GROUND_MISSING_GRANULATION;GROUND_MISSING_FAT_HANDLING;PHASE_MISSING_TIME_OR_PARAMS;NITRITE_WITHOUT_SAFETY_NOTE;PROBLEM_WITHOUT_SOLUTION_SIGNAL,C_NONPUBLIC_BLOCKED
2017,Privatno: Drisheen (Tradicionalna irska krvavica od ovčje krvi),https://drycured.com/?post_type=dry_recipe&p=2017,private,GROUND_MEAT_OR_CASING,high,6,2,1,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,THERMAL_PROCESSED,RECLASSIFY,"THERMAL_TITLE:krvavica,drisheen",FAIL,THERMAL_MISSING_PROCESS,C_NONPUBLIC_BLOCKED
2018,Irska salama (Spiced Irish Salami),https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,publish,GROUND_MEAT_OR_CASING,high,9,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,200,,TYPE_PASS_PUBLIC_TEXT_BLOCKED,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,GROUND_MEAT_OR_CASING,KEEP,,FAIL,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,A_PUBLIC_BLOCKED
2019,Privatno: Landjäger kobasice s bavarskom salatom od krumpira,https://drycured.com/?post_type=dry_recipe&p=2019,private,GROUND_MEAT_OR_CASING,high,7,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,D_NONPUBLIC_REVIEW_READY
2020,Privatno: Mettwurst s toplom salatom od krumpira i zelenog graha,https://drycured.com/?post_type=dry_recipe&p=2020,private,GROUND_MEAT_OR_CASING,high,7,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,,,TYPE_PASS_READY_FOR_SOURCE_DOSSIER,PASS,,GROUND_MEAT_OR_CASING,KEEP,,PASS,,D_NONPUBLIC_REVIEW_READY
