ID,title,status,contract_file,detail_score_12,quality,missing_detail_groups,forbidden_terms,normalizer_status
2982,Privatno: Slavonska dimljena slanina,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2982_hr-sl-012-slavonska-dimljena-slanina_contract_v1.json,3,CONTRACT_SKELETON_ONLY,spices;liquids;granulation;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2983,Privatno: Slavonska dimljena šunka,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2983_hr-sl-014-slavonska-dimljena-sunka_contract_v1.json,3,CONTRACT_SKELETON_ONLY,spices;liquids;granulation;process;smoking;drying;maturation;errors;safety,prema receptu,PASS_DRAFT
2984,Privatno: Suha plećka slavonska,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2984_hr-sl-015-suha-plecka-slavonska_contract_v1.json,3,CONTRACT_SKELETON_ONLY,spices;liquids;granulation;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2985,Privatno: Suha rebra slavonska,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2985_hr-sl-016-suha-rebra-slavonska_contract_v1.json,3,CONTRACT_SKELETON_ONLY,spices;liquids;granulation;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2996,Brodska kobasica (Slavonski Brod),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2996_hr-sl-030-brodska-kobasica-slavonski-brod_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
2997,Osječka kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/2997_hr-sl-031-osjecka-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3000,Slavonska domaća salama,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3000_hr-sl-034-slavonska-domaca-salama_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3001,Slavonska čvarkovača (kobasica od čvaraka),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3001_hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3002,Vinkovačka kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3002_hr-sl-037-vinkovacka-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3003,Slavonska lovačka kobasica (divljač + svinjetina),publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3003_hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3308,Istarska kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3308_hr-is-001-istarska-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3309,Rovinjska kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3309_hr-is-002-rovinjska-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3310,Pazinska kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3310_hr-is-003-pazinska-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3311,Lička kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3311_hr-li-001-licka-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3312,Sinjska kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3312_hr-da-001-sinjska-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3313,Korčulanska kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3313_hr-da-002-korculanska-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3314,Hvarska prstena kobasica,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3314_hr-da-003-hvarska-prstena-kobasica_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3315,Vrgorački kulen,publish,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3315_hr-da-004-vrgoracki-kulen_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,,PASS_DRAFT
3524,Privatno: PREVIEW CANON — Slavonska domaća kobasica,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3524_preview-canon-preview-canon-slavonska-kobasica-src-2976_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,preview,PASS_DRAFT
3532,Privatno: PREVIEW GRANULACIJA — Kulenova seka,private,04_OPERATION/recipe_master/reports/contract_normalizer_v1_2026-06-15_18-03-29/contracts/3532_preview-granulation-kulenova-seka-src-2973_contract_v1.json,4,CONTRACT_SKELETON_ONLY,spices;liquids;process;smoking;drying;maturation;errors;safety,preview,PASS_DRAFT
